ko_Pepp;ko_BereichNr;ko_KArt1;ko_KArt2;ko_KArt3a;ko_KArt3b;ko_KArt3c;ko_KArt3;ko_KArt4a;ko_KArt4b;ko_KArt5;ko_KArt6a;ko_KArt6b;ko_KArt6c;ko_KArt7;ko_KArt8
PA01A;11;0,50;0,06;0,00;0,00;0,00;0,57;0,01;0,00;0,00;0,03;0,00;0,07;0,09;0,25
PA01A;12;0,03;0,01;0,00;0,00;0,00;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,02
PA01A;13;0,49;0,83;0,00;0,00;0,00;0,18;0,01;0,00;0,00;0,03;0,00;0,00;0,08;0,36
PA01B;21;20,58;69,49;3,83;3,47;2,32;0,96;1,32;0,12;0,00;0,99;0,14;0,13;9,69;47,47
PA01B;22;8,41;32,23;1,37;1,65;1,07;0,29;0,59;0,05;0,00;0,52;0,04;0,05;3,95;20,44
PA01B;23;4,73;13,06;4,78;0,75;1,23;0,00;0,19;0,01;0,00;0,16;0,00;0,01;0,00;0,01
PA01B;24;0,01;0,00;0,00;0,00;0,64;0,00;0,00;0,00;0,00;0,00;0,01;0,04;0,06;0,24
PA01B;25;0,01;0,20;0,02;0,06;4,87;0,10;0,01;0,00;0,00;0,15;0,00;0,54;0,23;2,00
PA01B;26;0,02;0,01;0,02;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01
PA01B;8;0,07;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,01;0,00;0,00;0,01;0,04
PA01B;9;0,24;0,00;0,00;0,00;0,00;0,25;0,01;0,00;0,00;0,04;0,02;0,53;0,12;0,17
PA01B;10;0,06;0,00;0,00;0,00;0,00;0,53;0,01;0,00;0,00;0,65;0,05;0,90;0,09;0,43
PA01B;11;0,38;0,04;0,00;0,00;0,00;0,52;0,01;0,00;0,00;0,03;0,00;0,07;0,10;0,27
PA01B;12;0,05;0,01;0,00;0,00;0,00;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,04
PA01B;13;0,51;0,70;0,00;0,00;0,00;0,25;0,01;0,00;0,00;0,03;0,00;0,00;0,09;0,33
PA02A;21;15,65;56,72;2,93;4,02;1,78;0,76;1,34;0,17;0,00;1,05;0,04;0,16;7,50;38,32
PA02A;22;15,21;51,17;2,32;3,28;1,48;0,47;1,01;0,88;0,00;1,02;0,01;0,15;7,16;33,50
PA02A;23;4,67;10,39;1,85;1,74;0,40;0,00;0,09;0,03;0,00;0,07;0,00;0,01;0,00;0,03
PA02A;24;0,00;0,00;0,01;0,00;0,48;0,00;0,00;0,00;0,00;0,01;0,00;0,01;0,03;0,20
PA02A;25;0,01;0,37;0,02;0,02;3,07;0,06;0,01;0,00;0,00;0,06;0,00;0,01;0,15;1,23
PA02A;26;0,01;0,01;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,01
PA02A;5;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
PA02A;8;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01
PA02A;9;0,10;0,00;0,00;0,00;0,00;0,13;0,00;0,00;0,00;0,02;0,00;0,17;0,05;0,08
