ko_Pepp;ko_BereichNr;ko_KArt1;ko_KArt2;ko_KArt3a;ko_KArt3b;ko_KArt3c;ko_KArt3;ko_KArt4a;ko_KArt4b;ko_KArt5;ko_KArt6a;ko_KArt6b;ko_KArt6c;ko_KArt7;ko_KArt8
P003B;26;0,01;0,03;0,00;0,08;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,03
P003B;4;0,01;0,00;0,00;0,00;0,00;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,01
P003B;5;0,03;0,00;0,00;0,00;0,00;0,02;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,01
P003B;8;0,02;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,03;0,00;0,01
P003B;9;0,23;0,00;0,00;0,00;0,00;0,35;0,00;0,00;0,00;0,03;0,01;0,49;0,17;0,23
P003B;10;0,06;0,00;0,00;0,00;0,00;0,69;0,01;0,02;0,00;0,81;0,04;0,82;0,08;0,31
P003B;11;0,45;0,03;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,04;0,04;0,43;0,09;0,31
P003B;12;0,01;0,00;0,00;0,00;0,00;0,13;0,00;0,00;0,00;0,01;0,00;0,01;0,00;0,03
P003B;13;0,39;0,46;0,00;0,00;0,00;0,10;0,00;0,00;0,00;0,02;0,00;0,00;0,04;0,17
P003C;21;6,81;19,98;1,14;0,86;0,84;0,32;0,54;0,24;0,00;0,46;0,02;0,03;3,15;14,37
P003C;22;28,01;87,52;4,00;4,22;3,30;1,30;2,14;0,27;0,00;2,41;0,03;0,70;11,40;49,18
P003C;23;5,59;38,47;0,90;0,90;0,23;0,00;1,07;0,10;0,00;0,53;0,01;0,03;0,11;0,57
P003C;24;0,00;0,00;0,00;0,00;0,75;0,00;0,00;0,00;0,00;0,01;0,00;0,10;0,02;0,22
P003C;25;0,00;0,33;0,02;0,01;2,91;0,01;0,01;0,00;0,00;0,08;0,00;0,01;0,11;0,98
P003C;26;0,00;0,00;0,00;0,09;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,02
P003C;4;0,02;0,00;0,00;0,00;0,00;0,02;0,00;0,00;0,00;0,01;0,00;0,00;0,01;0,01
P003C;5;0,02;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
P003C;8;0,04;0,00;0,00;0,00;0,00;0,03;0,00;0,00;0,00;0,01;0,02;0,00;0,01;0,02
P003C;9;0,28;0,00;0,00;0,00;0,00;0,38;0,00;0,00;0,00;0,04;0,00;0,87;0,14;0,27
P003C;10;0,04;0,00;0,00;0,00;0,00;0,64;0,02;0,04;0,00;0,74;0,03;1,09;0,07;0,29
P003C;11;0,53;0,04;0,00;0,00;0,00;0,48;0,00;0,00;0,00;0,04;0,00;0,44;0,09;0,30
P003C;12;0,02;0,00;0,00;0,00;0,00;0,03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,02
P003C;13;0,48;0,45;0,00;0,00;0,00;0,17;0,00;0,00;0,00;0,03;0,00;0,00;0,06;0,20
PA01A;21;9,34;34,46;1,78;1,85;1,41;0,35;0,73;0,01;0,00;0,64;0,03;0,06;4,44;21,03
PA01A;22;17,91;79,15;2,41;4,48;2,50;0,73;1,56;0,23;0,00;1,38;0,16;0,10;8,01;45,37
PA01A;23;3,51;23,52;1,83;0,63;0,56;0,00;0,19;0,01;0,00;0,16;0,00;0,00;0,00;0,01
PA01A;24;0,00;0,00;0,00;0,00;0,53;0,00;0,00;0,00;0,00;0,01;0,00;0,01;0,03;0,21
PA01A;25;0,00;0,10;0,00;0,00;3,38;0,02;0,01;0,00;0,00;0,11;0,00;0,20;0,20;1,18
PA01A;26;0,01;0,01;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01
PA01A;4;0,04;0,00;0,00;0,00;0,00;0,05;0,00;0,00;0,00;0,02;0,00;0,00;0,05;0,04
PA01A;5;0,06;0,00;0,00;0,00;0,00;0,04;0,00;0,00;0,00;0,01;0,00;0,00;0,02;0,03
PA01A;8;0,04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,02
PA01A;9;0,15;0,00;0,00;0,00;0,00;0,20;0,00;0,00;0,00;0,02;0,00;0,23;0,07;0,15
PA01A;10;0,04;0,00;0,00;0,00;0,00;0,64;0,01;0,00;0,00;0,89;0,01;0,69;0,07;0,29
PA01A;11;0,35;0,04;0,00;0,00;0,00;0,58;0,00;0,00;0,00;0,04;0,01;0,12;0,09;0,25
PA01A;12;0,01;0,00;0,00;0,00;0,00;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01
PA01A;13;0,45;0,55;0,00;0,00;0,00;0,17;0,00;0,00;0,00;0,02;0,00;0,00;0,05;0,21
PA01B;21;17,47;57,48;2,97;2,98;2,08;0,97;1,31;0,29;0,00;1,03;0,12;0,11;7,87;40,03
PA01B;22;8,46;33,35;1,16;1,44;1,16;0,32;0,74;0,05;0,00;0,64;0,08;0,05;3,81;21,22
PA01B;23;4,34;13,46;3,41;0,65;1,07;0,00;0,16;0,01;0,00;0,11;0,00;0,00;0,00;0,01
PA01B;24;0,02;0,00;0,00;0,00;0,86;0,00;0,00;0,00;0,00;0,01;0,00;0,11;0,07;0,36
PA01B;25;0,02;0,41;0,00;0,01;4,83;0,04;0,00;0,00;0,00;0,14;0,00;0,88;0,33;1,86
PA01B;26;0,01;0,01;0,01;0,04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,02
PA01B;4;0,02;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,01;0,01;0,01;0,00;0,01;0,01
PA01B;5;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,01
PA01B;8;0,06;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,02
PA01B;9;0,22;0,00;0,00;0,00;0,00;0,24;0,00;0,00;0,00;0,04;0,02;0,47;0,13;0,16
PA01B;10;0,07;0,00;0,00;0,00;0,00;0,59;0,02;0,00;0,00;0,87;0,02;0,79;0,06;0,31
PA01B;11;0,34;0,06;0,00;0,00;0,00;0,59;0,01;0,00;0,00;0,04;0,00;0,05;0,07;0,25
PA01B;12;0,01;0,00;0,00;0,00;0,00;0,03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01
PA01B;13;0,64;0,65;0,00;0,00;0,00;0,27;0,01;0,00;0,00;0,05;0,00;0,00;0,07;0,29
PA02A;21;15,13;53,25;2,83;3,75;1,70;1,03;1,36;0,21;0,00;1,27;0,14;0,13;7,42;36,33
PA02A;22;14,47;47,45;2,04;3,05;1,65;0,63;1,15;0,71;0,00;0,95;0,06;0,18;6,94;32,82
PA02A;23;4,18;9,80;1,92;1,74;0,23;0,00;0,06;0,33;0,00;0,04;0,00;0,01;0,00;0,02
PA02A;24;0,00;0,04;0,00;0,00;0,52;0,00;0,00;0,00;0,00;0,01;0,00;0,03;0,02;0,19
PA02A;25;0,00;0,32;0,02;0,00;2,91;0,01;0,00;0,00;0,00;0,05;0,00;0,01;0,15;1,06
PA02A;26;0,00;0,02;0,00;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01
PA02A;4;0,02;0,00;0,00;0,00;0,00;0,02;0,00;0,00;0,00;0,02;0,00;0,00;0,01;0,02
PA02A;5;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
PA02A;7;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,00
PA02A;8;0,03;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01
PA02A;9;0,09;0,00;0,00;0,00;0,00;0,14;0,00;0,00;0,00;0,02;0,00;0,14;0,05;0,08
PA02A;10;0,19;0,00;0,00;0,00;0,00;1,75;0,07;0,00;0,00;1,99;0,14;3,08;0,18;0,76
PA02A;11;0,31;0,07;0,00;0,00;0,00;0,52;0,00;0,00;0,00;0,06;0,01;0,23;0,08;0,31
PA02A;12;0,02;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,01
PA02A;13;0,85;1,02;0,00;0,00;0,00;0,24;0,01;0,00;0,00;0,04;0,00;0,00;0,12;0,44
PA02B;21;15,51;49,93;2,40;3,32;1,82;0,75;1,09;0,26;0,00;1,14;0,07;0,09;8,16;36,16
PA02B;22;13,91;44,07;1,75;2,65;1,43;0,55;0,89;0,34;0,00;0,82;0,03;0,09;6,53;28,53
PA02B;23;5,71;11,80;1,79;1,62;0,33;0,00;0,10;0,05;0,00;0,09;0,00;0,01;0,00;0,01
PA02B;24;0,00;0,03;0,00;0,00;0,57;0,00;0,00;0,00;0,00;0,01;0,00;0,05;0,04;0,23
PA02B;25;0,01;0,31;0,01;0,01;2,63;0,01;0,01;0,00;0,00;0,07;0,00;0,12;0,17;0,99
PA02B;26;0,03;0,02;0,00;0,01;0,01;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,02
PA02B;4;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01
PA02B;8;0,03;0,00;0,00;0,00;0,00;0,02;0,00;0,00;0,00;0,01;0,00;0,00;0,01;0,02
PA02B;9;0,21;0,00;0,00;0,00;0,00;0,27;0,00;0,00;0,00;0,04;0,01;0,32;0,12;0,18
PA02B;10;0,26;0,00;0,00;0,00;0,00;1,56;0,04;0,00;0,00;1,74;0,05;2,26;0,20;0,67
PA02B;11;0,35;0,05;0,00;0,00;0,00;0,52;0,01;0,00;0,00;0,05;0,00;0,24;0,07;0,27
PA02B;12;0,04;0,00;0,00;0,00;0,00;0,05;0,00;0,00;0,00;0,00;0,00;0,01;0,01;0,02
PA02B;13;1,06;1,10;0,00;0,00;0,00;0,31;0,01;0,00;0,00;0,04;0,00;0,00;0,12;0,46
PA02C;21;18,02;53,40;2,79;3,58;2,13;1,00;1,08;0,13;0,00;1,20;0,02;0,11;9,49;42,39
PA02C;22;10,07;28,42;1,24;1,81;0,89;0,38;0,53;0,04;0,00;0,54;0,01;0,06;4,49;19,39
PA02C;23;5,23;10,37;1,73;1,88;0,31;0,00;0,08;0,01;0,00;0,10;0,00;0,01;0,00;0,01
PA02C;24;0,00;0,02;0,00;0,00;0,64;0,00;0,00;0,00;0,00;0,01;0,03;0,11;0,04;0,23
PA02C;25;0,01;0,33;0,01;0,01;3,18;0,01;0,01;0,00;0,00;0,10;0,00;0,09;0,20;1,19
PA02C;26;0,01;0,03;0,00;0,01;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,02
PA02C;4;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01
PA02C;5;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
PA02C;8;0,03;0,00;0,00;0,00;0,00;0,02;0,00;0,00;0,00;0,01;0,00;0,00;0,01;0,02
PA02C;9;0,27;0,00;0,00;0,00;0,00;0,34;0,01;0,00;0,00;0,05;0,01;0,39;0,16;0,23
PA02C;10;0,14;0,00;0,00;0,00;0,00;0,97;0,03;0,00;0,00;1,04;0,02;1,49;0,13;0,39
PA02C;11;0,32;0,04;0,00;0,00;0,00;0,53;0,00;0,00;0,00;0,05;0,00;0,20;0,07;0,25
PA02C;12;0,05;0,01;0,00;0,00;0,00;0,05;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,03
PA02C;13;0,88;0,85;0,00;0,00;0,00;0,29;0,01;0,00;0,00;0,05;0,00;0,00;0,11;0,42
PA02D;21;18,42;51,27;2,78;3,31;2,17;0,78;1,12;0,09;0,00;1,03;0,03;0,09;8,92;39,14
PA02D;22;11,43;32,17;1,50;2,01;1,15;0,45;0,61;0,02;0,00;0,56;0,01;0,07;4,61;20,93
PA02D;23;5,56;8,76;1,08;1,31;0,20;0,00;0,07;0,02;0,00;0,09;0,00;0,02;0,00;0,01
PA02D;24;0,00;0,02;0,00;0,00;0,45;0,00;0,00;0,00;0,00;0,01;0,00;0,04;0,04;0,20
PA02D;25;0,02;0,30;0,00;0,01;2,50;0,01;0,00;0,00;0,00;0,08;0,00;0,03;0,18;0,95
PA02D;26;0,02;0,02;0,00;0,02;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,01
PA02D;4;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01
PA02D;5;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
PA02D;8;0,03;0,00;0,00;0,00;0,00;0,03;0,00;0,00;0,00;0,01;0,00;0,00;0,01;0,03
PA02D;9;0,26;0,00;0,00;0,00;0,00;0,28;0,00;0,00;0,00;0,04;0,04;0,41;0,13;0,19
PA02D;10;0,28;0,00;0,00;0,00;0,00;1,11;0,04;0,01;0,00;1,32;0,03;1,56;0,15;0,48
PA02D;11;0,35;0,06;0,00;0,00;0,00;0,60;0,01;0,00;0,00;0,05;0,00;0,16;0,08;0,32
PA02D;12;0,03;0,00;0,00;0,00;0,00;0,08;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,03
PA02D;13;1,55;1,44;0,00;0,00;0,00;0,57;0,02;0,00;0,00;0,09;0,00;0,00;0,19;0,74
PA03A;21;14,68;43,64;2,09;2,29;1,74;0,67;1,07;0,42;0,00;1,07;0,02;0,08;7,29;31,19
PA03A;22;14,94;49,98;1,50;2,30;1,83;0,64;1,09;0,44;0,00;1,22;0,03;0,10;7,54;32,44
PA03A;23;3,77;13,14;0,87;0,82;0,25;0,00;0,13;0,03;0,00;0,11;0,00;0,01;0,01;0,03
PA03A;24;0,00;0,01;0,00;0,00;0,86;0,00;0,00;0,00;0,00;0,01;0,00;0,09;0,05;0,33
PA03A;25;0,01;0,25;0,01;0,02;3,41;0,01;0,01;0,00;0,00;0,10;0,00;0,64;0,19;1,23
PA03A;26;0,01;0,02;0,02;0,02;0,01;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,03
PA03A;4;0,02;0,00;0,00;0,00;0,00;0,02;0,00;0,00;0,00;0,01;0,00;0,00;0,01;0,01
PA03A;5;0,03;0,00;0,00;0,00;0,00;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01
PA03A;8;0,02;0,00;0,00;0,00;0,00;0,02;0,00;0,00;0,00;0,01;0,00;0,00;0,01;0,02
PA03A;9;0,24;0,00;0,00;0,00;0,00;0,32;0,00;0,00;0,00;0,04;0,02;0,56;0,12;0,21
PA03A;10;0,08;0,00;0,00;0,00;0,00;0,52;0,01;0,00;0,00;0,59;0,02;1,05;0,07;0,23
PA03A;11;0,38;0,04;0,00;0,00;0,00;0,49;0,00;0,00;0,00;0,05;0,01;0,26;0,09;0,26
PA03A;12;0,02;0,01;0,00;0,00;0,00;0,08;0,00;0,00;0,00;0,00;0,00;0,01;0,01;0,04
PA03A;13;0,47;0,42;0,00;0,00;0,00;0,17;0,01;0,00;0,00;0,03;0,00;0,00;0,06;0,22
PA03B;21;17,51;50,15;2,72;2,88;2,05;0,77;1,23;0,42;0,00;0,95;0,03;0,09;8,57;37,76
PA03B;22;10,35;33,01;1,12;1,63;1,23;0,43;0,72;0,30;0,00;0,65;0,02;0,07;5,23;22,37
PA03B;23;3,59;7,66;1,00;0,86;0,23;0,00;0,08;0,03;0,00;0,06;0,00;0,01;0,01;0,02
PA03B;24;0,00;0,01;0,00;0,00;0,60;0,00;0,00;0,00;0,00;0,01;0,00;0,05;0,05;0,26
PA03B;25;0,01;0,26;0,02;0,02;3,66;0,01;0,01;0,00;0,00;0,11;0,00;0,29;0,21;1,38
PA03B;26;0,01;0,03;0,01;0,03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,03
PA03B;5;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
PA03B;8;0,02;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01
PA03B;9;0,18;0,00;0,00;0,00;0,00;0,20;0,00;0,00;0,00;0,03;0,02;0,53;0,09;0,13
PA03B;10;0,08;0,00;0,00;0,00;0,00;0,49;0,01;0,00;0,00;0,55;0,02;1,04;0,07;0,21
PA03B;11;0,29;0,03;0,00;0,00;0,00;0,44;0,00;0,00;0,00;0,04;0,01;0,14;0,07;0,23
PA03B;12;0,01;0,00;0,00;0,00;0,00;0,03;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,01
PA03B;13;0,55;0,53;0,00;0,00;0,00;0,19;0,01;0,00;0,00;0,03;0,00;0,00;0,07;0,25
PA04A;21;20,65;59,59;3,79;2,91;2,34;1,23;1,43;0,39;0,00;1,37;0,03;0,13;10,07;42,83
PA04A;22;9,54;30,81;1,05;1,31;1,04;0,46;0,66;0,10;0,00;0,80;0,02;0,06;4,50;19,72
PA04A;23;5,49;13,72;2,66;0,75;0,38;0,01;0,13;0,03;0,00;0,13;0,00;0,03;0,01;0,05
PA04A;24;0,00;0,01;0,00;0,00;1,81;0,00;0,00;0,00;0,00;0,03;0,01;0,39;0,11;0,70
PA04A;25;0,02;0,39;0,02;0,02;4,41;0,02;0,01;0,00;0,00;0,13;0,00;2,00;0,30;1,66
PA04A;26;0,02;0,04;0,03;0,03;0,03;0,02;0,00;0,00;0,00;0,00;0,00;0,01;0,03;0,07
PA04A;4;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,01
PA04A;5;0,02;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01
PA04A;8;0,05;0,00;0,00;0,00;0,00;0,04;0,00;0,00;0,01;0,01;0,02;0,00;0,02;0,04
PA04A;9;0,47;0,00;0,00;0,00;0,00;0,57;0,01;0,01;0,00;0,08;0,05;0,86;0,23;0,36
PA04A;10;0,10;0,00;0,00;0,00;0,00;0,68;0,02;0,01;0,00;0,71;0,01;0,99;0,09;0,29
PA04A;11;0,53;0,06;0,00;0,00;0,00;0,66;0,01;0,00;0,00;0,06;0,01;0,20;0,11;0,37
PA04A;12;0,05;0,02;0,00;0,00;0,00;0,13;0,00;0,00;0,00;0,00;0,00;0,04;0,01;0,06
PA04A;13;0,47;0,37;0,00;0,00;0,00;0,21;0,01;0,00;0,00;0,03;0,00;0,00;0,07;0,24
PA04B;21;22,88;65,55;3,91;3,39;2,82;1,08;1,50;0,21;0,00;1,48;0,05;0,15;11,00;50,21
PA04B;22;5,37;17,93;0,62;0,78;0,58;0,26;0,36;0,09;0,00;0,41;0,01;0,05;2,71;11,55
PA04B;23;4,19;9,04;2,37;0,67;0,23;0,01;0,09;0,03;0,00;0,08;0,00;0,02;0,01;0,02
PA04B;24;0,01;0,00;0,00;0,00;1,51;0,00;0,00;0,00;0,00;0,02;0,00;0,18;0,08;0,60
PA04B;25;0,01;0,32;0,01;0,02;4,46;0,02;0,01;0,00;0,00;0,13;0,00;0,52;0,25;1,68
PA04B;26;0,04;0,07;0,02;0,02;0,01;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,03;0,07
PA04B;4;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,01
PA04B;5;0,02;0,00;0,00;0,00;0,00;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,01
PA04B;8;0,04;0,00;0,00;0,00;0,00;0,02;0,00;0,00;0,00;0,01;0,01;0,00;0,01;0,02
PA04B;9;0,35;0,00;0,00;0,00;0,00;0,41;0,01;0,00;0,00;0,06;0,02;0,77;0,18;0,26
PA04B;10;0,09;0,00;0,00;0,00;0,00;0,55;0,02;0,01;0,00;0,58;0,01;0,90;0,07;0,24
PA04B;11;0,45;0,05;0,00;0,00;0,00;0,61;0,01;0,00;0,00;0,05;0,01;0,19;0,11;0,32
PA04B;12;0,04;0,01;0,00;0,00;0,00;0,13;0,00;0,00;0,00;0,00;0,00;0,01;0,01;0,06
PA04B;13;0,43;0,38;0,00;0,00;0,00;0,18;0,01;0,00;0,00;0,03;0,00;0,00;0,07;0,22
PA04C;21;23,11;63,06;4,61;3,67;2,81;1,10;1,32;0,09;0,00;1,11;0,03;0,13;10,70;50,59
PA04C;22;3,09;9,43;0,39;0,48;0,34;0,15;0,18;0,02;0,00;0,18;0,00;0,02;1,53;6,59
PA04C;23;4,39;6,47;3,32;0,80;0,29;0,02;0,08;0,01;0,00;0,06;0,00;0,03;0,01;0,03
PA04C;24;0,01;0,01;0,00;0,00;1,53;0,00;0,00;0,00;0,00;0,03;0,01;0,11;0,08;0,65
PA04C;25;0,02;0,31;0,03;0,02;5,19;0,02;0,01;0,00;0,00;0,16;0,00;0,32;0,28;1,99
PA04C;26;0,05;0,05;0,01;0,01;0,01;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,02;0,05
PA04C;4;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
PA04C;5;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
PA04C;8;0,02;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,01
PA04C;9;0,21;0,00;0,00;0,00;0,00;0,23;0,01;0,00;0,00;0,04;0,01;0,64;0,11;0,14
PA04C;10;0,06;0,00;0,00;0,00;0,00;0,44;0,01;0,00;0,00;0,49;0,01;0,71;0,06;0,19
PA04C;11;0,33;0,06;0,00;0,00;0,00;0,46;0,00;0,00;0,00;0,04;0,00;0,12;0,07;0,25
PA04C;12;0,02;0,00;0,00;0,00;0,00;0,06;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,03
PA04C;13;0,47;0,47;0,00;0,00;0,00;0,16;0,00;0,00;0,00;0,03;0,00;0,00;0,07;0,23
PA14A;21;21,72;57,08;3,64;3,30;2,20;1,16;1,22;0,10;0,00;1,35;0,04;0,29;8,88;42,68
PA14A;22;11,09;33,43;1,30;1,57;1,12;0,61;0,77;0,06;0,00;0,77;0,03;0,17;4,55;20,04
PA14A;23;5,77;13,89;2,99;1,08;0,46;0,04;0,13;0,06;0,00;0,10;0,00;0,02;0,03;0,10
PA14A;24;0,01;0,01;0,00;0,00;1,14;0,00;0,00;0,00;0,00;0,02;0,00;0,10;0,08;0,49
PA14A;25;0,02;0,23;0,01;0,03;4,05;0,14;0,00;0,00;0,00;0,14;0,00;1,37;0,22;1,55
PA14A;26;0,01;0,01;0,00;0,05;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,03
PA14A;4;0,03;0,00;0,00;0,00;0,00;0,04;0,00;0,00;0,00;0,02;0,00;0,00;0,02;0,03
PA14A;5;0,04;0,00;0,00;0,00;0,00;0,03;0,00;0,00;0,00;0,01;0,00;0,00;0,01;0,01
