IK_MDC;IK_DRG;IK_Faelle_Anzahl;IK_PCCL0;IK_PCCL1;IK_PCCL2;IK_PCCL3;IK_PCCL4;IK_GeschlechtM;IK_GeschlechtW;IK_GeschlechtU;IK_AlterU28T;IK_AlterU01;IK_AlterU03;IK_AlterU06;IK_AlterU10;IK_AlterU16;IK_AlterU18;IK_AlterU30;IK_AlterU40;IK_AlterU50;IK_AlterU55;IK_AlterU60;IK_AlterU65;IK_AlterU75;IK_AlterU80;IK_AlterU99;IK_VWD_Kurz;IK_VWD_Norm;IK_VWD_Lang;IK_uGVD;IK_oGVD;IK_VWD_MW;IK_Bewertungsrelation;IK_Gesamt;IK_VWD_STD;IK_KOST_MW;IK_KOST_STD
05 ;F36A;106;0;0,0189;0;0,0283;0,9528;0,7264;0,2736;0;0;0,0943;0,0283;0,0094;0;0;0;0,0094;0;0;0,0189;0,0189;0,0849;0,2736;0,3208;0,1415;0;0,797;0,203;12;58;40,5;20,51;0;11,2;57597,09;14300,61
05 ;F36B;107;0;0;0,0187;0,028;0,9533;0,729;0,271;0;0;0;0;0;0;0;0;0;0;0,0187;0,028;0,0467;0,1121;0,3364;0,271;0,1869;0;0,7379;0,2621;11;54;36,5;17,454;0;12,7;49015,71;13455,23
05 ;F36C;946;0;0,0032;0,0106;0,0655;0,9207;0,7283;0,2717;0;0;0,0063;0,0011;0,0021;0,0011;0;0;0,0011;0,0021;0,037;0,0349;0,056;0,0867;0,3076;0,2474;0,2167;0,0109;0,7916;0,1975;8;44;25,6;11,45;0,0004;10,1;32155,76;10714,23
05 ;F39A;376;0,6729;0,0691;0,0319;0,1862;0,0399;0,4149;0,5851;0;0;0;0;0;0;0;0;0,0319;0,0505;0,1011;0,109;0,1117;0,1197;0,25;0,141;0,0851;0,456;0,4408;0,1032;1;14;5;0,943;0,0001;4,2;2647,03;828,75
05 ;F39B;1179;0,8448;0,1145;0,0407;0;0;0,391;0,609;0;0;0;0;0;0;0,0017;0,0008;0,017;0,0433;0,1289;0,0967;0,1069;0,1264;0,3003;0,1154;0,0628;0,691;0,2718;0,0371;1;6;2,7;0,715;0,0004;1,1;2007,93;467,95
05 ;F41A;90;0;0;0;0;1;0,6222;0,3778;0;0;0;0;0;0;0;0;0;0;0,0222;0,0222;0,0111;0,0333;0,2111;0,3;0,4;0,1197;0,7692;0,1111;5;31;16,8;2,756;0;6,7;7739,81;2976,94
05 ;F41B;2344;0,6451;0,2103;0,1425;0,0021;0;0,6028;0,3972;0;0;0;0;0;0;0;0;0,0043;0,0166;0,0755;0,0648;0,0883;0,1088;0,2615;0,166;0,2142;0,0502;0,8839;0,066;1;13;6;1;0,0009;2,8;2809,54;1052,15
05 ;F42Z;259;0,1197;0,0849;0,112;0,2278;0,4556;0,6525;0,3475;0;0;0,1699;0,0695;0,0347;0,0193;0,0154;0;0;0;0,0425;0,0386;0,0502;0,0656;0,278;0,139;0,0772;0,0721;0,8119;0,116;4;28;13,8;9,046;0,0001;6,6;25403,7;10935,12
05 ;F43A;227;0,0176;0,0176;0,0264;0,1806;0,7577;0,5903;0,4097;0;0;0,3524;0,0749;0,0264;0;0,0044;0;0;0;0,0132;0,0044;0,0132;0,0308;0,1454;0,1674;0,1674;0,0481;0,7801;0,1718;6;38;20,3;6,74;0,0001;9,1;18927,67;6498,63
05 ;F43B;366;0,0164;0,0055;0,0383;0,1393;0,8005;0,5956;0,4044;0;0;0;0;0;0;0;0,0055;0,0109;0,0082;0,0328;0,041;0,0628;0,071;0,2678;0,1858;0,3142;0,3008;0,5588;0,1405;4;30;14,8;4,469;0,0001;7,1;12550,06;5014,5
05 ;F43C;1537;0,0247;0,0325;0,0781;0,272;0,5927;0,5901;0,4099;0;0;0;0;0;0;0,0007;0,0007;0,0065;0,0091;0,0507;0,0481;0,0625;0,0709;0,2739;0,1822;0,2947;0,2553;0,6741;0,0706;3;26;12,6;3,09;0,0006;6;8678,19;3482,96
05 ;F48Z;2172;0,0912;0,1229;0,1998;0,3913;0,1948;0,2836;0,7164;0;0;0;0;0;0;0;0;0;0;0;0;0,0018;0,0046;0,0783;0,1464;0,7689;0;0,9065;0,0935;;36;22,3;2,188;0,0008;6,4;6145,79;1787,01
05 ;F49A;81;0;0;0;0;1;0,679;0,321;0;0;0,0123;0;0;0;0;0;0,0494;0,0494;0,0494;0,0494;0,1111;0,0741;0,2469;0,1605;0,1975;0,2847;0,5912;0,1241;5;31;16,5;3,037;0;6,7;8528,02;3523,24
05 ;F49B;334;0;0;0;0;1;0,5958;0,4042;0;0;0;0,006;0,003;0;0;0,003;0;0,015;0,0269;0,0359;0,0719;0,0659;0,2485;0,2365;0,2874;0,1473;0,7341;0,1187;4;28;14,1;1,986;0,0001;6,3;5576,94;2015,72
05 ;F49C;439;0,5444;0,0866;0,2027;0,1663;0;0,5649;0,4351;0;0;0,3326;0,2346;0,1663;0,1185;0,1481;0;0;0;0;0;0;0;0;0;0;0,1109;0,8252;0,0639;1;6;2,6;1,262;0,0002;1,1;3545,2;1093,99
05 ;F49D;3945;0,0849;0,0289;0,0248;0,8613;0;0,5861;0,4139;0;0;0;0;0;0;0,0003;0,0025;0,0144;0,0193;0,0527;0,0484;0,0624;0,0885;0,2753;0,218;0,2183;0,2085;0,719;0,0725;2;21;9,6;1,414;0,0015;5;3971,23;1599,99
05 ;F49E;4181;0,4781;0,244;0,2779;0;0;0,5771;0,4229;0;0;0;0;0;0;0,0002;0,0005;0,0053;0,0115;0,0474;0,0543;0,066;0,0938;0,3116;0,2186;0,1909;0,1975;0,7392;0,0633;2;17;8,4;1,126;0,0016;3,9;3162,34;1181,2
05 ;F49F;3120;0,6612;0,2099;0,1288;0;0;0,6263;0,3737;0;0;0;0;0;0;0;0,0006;0,0109;0,0125;0,058;0,0692;0,0913;0,1189;0,3362;0,1917;0,1106;0,2215;0,7131;0,0654;1;12;5;0,936;0,0012;2,9;2628,71;929,32
05 ;F49G;23115;0,7542;0,1595;0,0864;0;0;0,5807;0,4193;0;0;0;0;0;0;0;0;0,0023;0,0137;0,0759;0,0779;0,0984;0,1161;0,3148;0,1726;0,1283;0,3372;0,6096;0,0532;1;9;3,9;0,665;0,0088;2;1866,23;653,48
05 ;F50A;2509;0,6369;0,1311;0,0972;0,0941;0,0407;0,6409;0,3591;0;0;0;0;0;0,0012;0,0036;0,0016;0,0139;0,0235;0,1036;0,1152;0,1255;0,1578;0,3507;0,0893;0,0139;0,0659;0,8569;0,0772;1;10;4,1;2,731;0,001;2,2;7668,32;1742,6
05 ;F50B;1014;0,6006;0,1252;0,0996;0,1124;0,0621;0,5947;0,4053;0;0;0;0;0;0,0049;0,0217;0,0128;0,068;0,0582;0,1055;0,0917;0,0809;0,1144;0,2801;0,0996;0,0621;0,1592;0,7578;0,083;1;12;4,6;2,119;0,0004;3;5949,56;2193,42
05 ;F50C;211;0,7773;0,0806;0,0806;0,0474;0,0142;0,6445;0,3555;0;0;0;0;0;0;0,019;0,0142;0,128;0,0758;0,1611;0,1327;0,1232;0,1185;0,1706;0,0474;0,0095;0,1429;0,7932;0,0639;1;8;3,4;1,903;0,0001;1,7;5343,15;1635,52
05 ;F50D;2759;0,6756;0,1029;0,0808;0,087;0,0536;0,5995;0,4005;0;0;0;0;0,0014;0,0025;0,0123;0,0058;0,0526;0,0449;0,1004;0,0779;0,0957;0,1127;0,2878;0,1283;0,0776;0,285;0,6489;0,0661;1;9;3,7;1,42;0,0011;2,2;3986,55;1464,56
05 ;F51A;324;0,3086;0,0772;0,1759;0,2099;0,2284;0,7562;0,2438;0;0;0;0;0;0;0;0;0,0062;0;0,0309;0,0432;0,071;0,108;0,3642;0,2315;0,1451;0,0294;0,8663;0,1043;3;24;11;7,301;0,0001;6,1;20502,56;7189,49
