ko_Pepp;ko_BereichNr;ko_KArt1;ko_KArt2;ko_KArt3a;ko_KArt3b;ko_KArt3c;ko_KArt3;ko_KArt4a;ko_KArt4b;ko_KArt5;ko_KArt6a;ko_KArt6b;ko_KArt7;ko_KArt8
P003C;23;7,01;61,64;1,24;1,27;0,09;0,00;0,71;0,07;0,00;0,65;0,04;0,00;0,00
P003C;24;0,00;0,00;0,00;0,00;0,90;0,00;0,00;0,00;0,00;0,01;0,10;0,02;0,35
P003C;25;0,00;0,52;0,01;0,00;3,17;0,04;0,02;0,00;0,00;0,10;0,00;0,19;1,28
P003C;26;0,01;0,01;0,00;0,02;0,00;0,02;0,00;0,00;0,00;0,00;0,05;0,00;0,02
P003C;4;0,03;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,01;0,00;0,01;0,01
P003C;5;0,02;0,00;0,00;0,00;0,00;0,02;0,00;0,00;0,00;0,01;0,00;0,00;0,01
P003C;9;0,22;0,00;0,00;0,00;0,00;0,23;0,01;0,00;0,00;0,03;0,91;0,11;0,16
P003C;10;0,07;0,00;0,00;0,00;0,00;0,70;0,00;0,00;0,00;0,68;1,12;0,11;0,30
P003C;11;0,48;0,20;0,00;0,00;0,00;0,81;0,01;0,00;0,00;0,07;0,28;0,09;0,43
PA01A;21;11,35;33,71;1,60;2,17;0,96;0,32;1,17;0,15;0,00;0,75;0,08;4,54;21,14
PA01A;22;18,22;67,69;2,12;3,49;1,56;0,43;2,05;0,16;0,00;2,08;0,22;7,66;38,77
PA01A;23;4,10;18,73;0,76;0,61;0,12;0,01;0,17;0,01;0,00;0,17;0,01;0,00;0,00
PA01A;24;0,00;0,00;0,00;0,00;0,38;0,00;0,00;0,00;0,00;0,00;0,01;0,01;0,11
PA01A;25;0,00;0,37;0,00;0,10;2,58;0,02;0,02;0,00;0,00;0,09;0,04;0,19;1,35
PA01A;8;0,04;0,00;0,00;0,00;0,00;0,03;0,00;0,00;0,00;0,01;0,00;0,02;0,03
PA01A;9;0,14;0,00;0,00;0,00;0,00;0,18;0,01;0,00;0,00;0,03;0,24;0,07;0,12
PA01A;10;0,08;0,00;0,00;0,00;0,00;0,71;0,00;0,00;0,00;0,81;0,50;0,08;0,29
PA01A;11;0,76;0,71;0,00;0,00;0,00;0,67;0,01;0,00;0,00;0,06;0,07;0,11;0,52
PA01B;21;20,27;59,33;2,86;3,15;1,76;0,93;1,75;0,14;0,00;1,40;0,05;10,77;43,47
PA01B;22;8,03;26,17;1,29;1,26;0,68;0,15;0,77;0,01;0,00;0,80;0,04;3,93;18,56
PA01B;23;3,83;6,99;1,94;0,76;0,32;0,00;0,05;0,11;0,00;0,06;0,02;0,00;0,00
PA01B;24;0,00;0,00;0,00;0,00;0,56;0,00;0,00;0,00;0,00;0,00;0,12;0,04;0,28
PA01B;25;0,00;0,61;0,00;0,08;4,60;0,01;0,01;0,00;0,00;0,11;0,45;0,28;2,05
PA01B;26;0,00;0,00;0,00;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,03
PA01B;8;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00
PA01B;9;0,26;0,00;0,00;0,00;0,00;0,18;0,01;0,00;0,00;0,06;0,38;0,12;0,13
PA01B;10;0,06;0,00;0,00;0,00;0,00;0,60;0,00;0,00;0,00;0,69;0,75;0,06;0,25
PA01B;11;0,72;0,56;0,00;0,00;0,00;0,99;0,02;0,00;0,00;0,11;0,12;0,16;0,64
PA02A;21;15,53;54,66;2,42;3,02;1,41;0,77;1,51;0,13;0,00;1,22;0,13;9,14;38,26
PA02A;22;12,34;42,99;1,55;1,72;1,95;0,48;1,16;0,24;0,00;0,84;0,21;6,79;29,13
PA02A;23;3,22;10,10;1,72;1,48;0,30;0,00;0,03;0,11;0,00;0,03;0,01;0,00;0,00
PA02A;24;0,00;0,06;0,00;0,00;0,36;0,00;0,00;0,00;0,00;0,00;0,03;0,02;0,25
PA02A;25;0,00;0,29;0,00;0,01;2,72;0,18;0,01;0,00;0,00;0,05;0,01;0,18;1,31
PA02A;26;0,00;0,01;0,00;0,01;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,07
PA02A;4;0,02;0,00;0,00;0,00;0,00;0,03;0,00;0,00;0,01;0,01;0,00;0,01;0,02
PA02A;5;0,03;0,00;0,00;0,00;0,00;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,01
PA02A;8;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,01
PA02A;9;0,09;0,00;0,00;0,00;0,00;0,11;0,00;0,00;0,00;0,03;0,13;0,04;0,07
PA02A;10;0,23;0,00;0,00;0,00;0,00;2,13;0,02;0,00;0,00;2,00;3,12;0,32;1,14
PA02A;11;0,71;0,70;0,00;0,00;0,00;0,98;0,01;0,00;0,00;0,08;0,15;0,15;0,73
PA02B;21;16,57;50,07;2,15;2,67;1,66;0,81;1,29;0,27;0,00;1,19;0,16;9,16;38,96
PA02B;22;11,74;38,95;1,42;1,74;1,76;0,35;0,99;0,24;0,00;0,79;0,12;6,37;26,55
PA02B;23;4,60;11,69;1,95;1,41;0,55;0,00;0,10;0,14;0,00;0,10;0,02;0,00;0,00
PA02B;24;0,00;0,03;0,00;0,00;0,55;0,00;0,00;0,00;0,00;0,01;0,06;0,03;0,28
PA02B;25;0,00;0,34;0,00;0,05;2,73;0,12;0,01;0,00;0,00;0,07;0,07;0,23;1,29
PA02B;26;0,00;0,03;0,00;0,05;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,01;0,08
PA02B;4;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00
PA02B;5;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00
PA02B;8;0,02;0,00;0,00;0,00;0,00;0,02;0,00;0,00;0,00;0,00;0,01;0,01;0,01
PA02B;9;0,21;0,00;0,00;0,00;0,00;0,22;0,00;0,00;0,00;0,05;0,37;0,09;0,15
PA02B;10;0,24;0,00;0,00;0,00;0,00;1,98;0,01;0,01;0,00;1,87;2,20;0,26;1,00
PA02B;11;0,72;0,60;0,00;0,00;0,00;0,91;0,02;0,00;0,00;0,09;0,19;0,13;0,63
PA02C;21;17,56;49,56;2,36;2,89;1,63;0,90;1,19;0,10;0,00;1,15;0,14;9,33;40,18
PA02C;22;9,61;27,48;1,08;1,38;1,00;0,33;0,71;0,03;0,00;0,69;0,08;5,09;20,54
PA02C;23;5,15;11,57;2,31;1,64;0,35;0,01;0,09;0,04;0,00;0,11;0,04;0,00;0,00
PA02C;24;0,00;0,02;0,00;0,00;0,73;0,00;0,00;0,00;0,00;0,01;0,08;0,03;0,28
PA02C;25;0,00;0,33;0,00;0,08;3,07;0,10;0,01;0,00;0,00;0,08;0,09;0,25;1,51
PA02C;26;0,00;0,02;0,00;0,07;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,01;0,08
PA02C;4;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,01;0,00;0,01;0,00;0,01
PA02C;5;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
PA02C;8;0,02;0,00;0,00;0,00;0,00;0,02;0,00;0,00;0,00;0,01;0,00;0,01;0,01
PA02C;9;0,33;0,00;0,00;0,00;0,00;0,39;0,01;0,00;0,00;0,07;0,53;0,14;0,24
PA02C;10;0,12;0,00;0,00;0,00;0,00;1,24;0,01;0,01;0,00;1,25;1,36;0,14;0,57
PA02C;11;0,71;0,50;0,00;0,00;0,00;0,97;0,02;0,00;0,00;0,09;0,23;0,14;0,63
PA02D;21;18,83;51,66;2,66;3,07;1,73;0,81;1,27;0,09;0,00;1,15;0,12;9,74;41,86
PA02D;22;8,67;24,52;1,14;1,27;0,82;0,33;0,63;0,02;0,00;0,60;0,06;4,33;18,07
PA02D;23;5,06;9,70;1,93;1,29;0,30;0,01;0,08;0,03;0,00;0,12;0,05;0,00;0,00
PA02D;24;0,00;0,01;0,00;0,00;0,57;0,00;0,00;0,00;0,00;0,01;0,04;0,03;0,25
PA02D;25;0,00;0,31;0,00;0,05;2,70;0,08;0,01;0,00;0,00;0,08;0,07;0,26;1,34
PA02D;26;0,00;0,04;0,00;0,04;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,02;0,07
PA02D;8;0,02;0,00;0,00;0,00;0,00;0,02;0,00;0,00;0,00;0,01;0,00;0,01;0,01
PA02D;9;0,23;0,00;0,00;0,00;0,00;0,26;0,01;0,00;0,00;0,07;0,43;0,12;0,16
PA02D;10;0,13;0,00;0,00;0,00;0,00;1,22;0,01;0,00;0,00;1,32;1,32;0,14;0,56
PA02D;11;0,83;0,67;0,00;0,00;0,00;1,18;0,02;0,00;0,00;0,12;0,11;0,17;0,74
PA03A;21;15,80;45,41;1,88;2,34;1,51;0,78;1,43;0,40;0,00;1,16;0,13;7,86;34,63
PA03A;22;12,47;40,80;1,28;1,88;1,12;0,39;1,20;0,29;0,00;1,21;0,12;6,36;26,85
PA03A;23;3,62;13,36;0,84;0,83;0,17;0,00;0,12;0,04;0,00;0,11;0,02;0,00;0,00
PA03A;24;0,00;0,00;0,00;0,00;0,92;0,00;0,00;0,00;0,00;0,01;0,04;0,04;0,35
PA03A;25;0,00;0,33;0,01;0,04;3,32;0,09;0,02;0,00;0,00;0,10;0,57;0,26;1,52
PA03A;26;0,01;0,03;0,00;0,01;0,01;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,02
PA03A;4;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00
PA03A;5;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00
PA03A;7;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
PA03A;8;0,02;0,00;0,00;0,00;0,00;0,02;0,00;0,00;0,00;0,01;0,00;0,01;0,01
PA03A;9;0,28;0,00;0,00;0,00;0,00;0,33;0,01;0,00;0,00;0,06;0,58;0,13;0,20
PA03A;10;0,07;0,00;0,00;0,00;0,00;0,56;0,00;0,01;0,00;0,58;0,93;0,08;0,26
PA03A;11;0,58;0,27;0,00;0,00;0,00;0,77;0,01;0,00;0,00;0,07;0,14;0,12;0,46
PA03B;21;18,14;50,07;2,32;2,68;1,61;0,89;1,59;0,45;0,00;1,10;0,10;8,76;40,63
PA03B;22;8,11;26,17;0,86;1,20;0,68;0,30;0,77;0,15;0,00;0,64;0,05;4,25;18,21
PA03B;23;3,50;8,08;1,25;0,81;0,19;0,01;0,07;0,03;0,00;0,06;0,01;0,00;0,00
PA03B;24;0,00;0,00;0,00;0,00;0,54;0,00;0,00;0,00;0,00;0,01;0,05;0,04;0,25
PA03B;25;0,00;0,37;0,01;0,04;3,97;0,07;0,02;0,00;0,00;0,12;0,32;0,32;2,00
PA03B;26;0,01;0,01;0,00;0,01;0,01;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,04
PA03B;4;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00
PA03B;5;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00
PA03B;7;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
PA03B;8;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00
PA03B;9;0,19;0,00;0,00;0,00;0,00;0,20;0,00;0,00;0,00;0,05;0,51;0,09;0,13
PA03B;10;0,07;0,00;0,00;0,00;0,00;0,51;0,00;0,00;0,00;0,51;0,89;0,07;0,24
PA03B;11;0,49;0,31;0,00;0,00;0,00;0,67;0,01;0,00;0,00;0,06;0,11;0,10;0,41
PA04A;21;18,65;54,01;2,50;2,68;1,70;1,04;1,68;0,50;0,00;1,41;0,27;8,69;39,38
PA04A;22;9,82;31,74;1,00;1,50;0,73;0,33;0,93;0,09;0,00;0,98;0,14;4,80;20,37
PA04A;23;4,38;15,53;2,67;0,77;0,21;0,00;0,14;0,02;0,00;0,12;0,05;0,00;0,00
PA04A;24;0,00;0,01;0,00;0,00;2,11;0,00;0,00;0,00;0,00;0,02;0,10;0,08;0,81
PA04A;25;0,00;0,41;0,01;0,07;4,26;0,11;0,02;0,00;0,00;0,12;0,40;0,29;1,85
PA04A;26;0,02;0,04;0,00;0,01;0,02;0,02;0,00;0,00;0,00;0,00;0,02;0,00;0,04
PA04A;4;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,01;0,00;0,00;0,00;0,01
PA04A;5;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00
PA04A;7;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01
PA04A;8;0,03;0,00;0,00;0,00;0,00;0,03;0,00;0,00;0,00;0,01;0,01;0,01;0,02
PA04A;9;0,46;0,00;0,00;0,00;0,00;0,56;0,02;0,00;0,00;0,10;0,81;0,22;0,33
PA04A;10;0,07;0,00;0,00;0,00;0,00;0,63;0,00;0,01;0,00;0,64;1,04;0,08;0,29
PA04A;11;0,86;0,25;0,00;0,00;0,00;1,04;0,02;0,00;0,00;0,09;0,22;0,16;0,60
PA04B;21;22,26;65,53;3,65;3,18;2,19;1,22;1,92;0,24;0,00;1,70;0,26;11,19;51,30
PA04B;22;3,97;12,93;0,46;0,55;0,34;0,13;0,38;0,06;0,00;0,38;0,04;2,17;8,78
PA04B;23;3,94;8,37;2,51;0,60;0,21;0,00;0,07;0,04;0,00;0,07;0,03;0,00;0,00
PA04B;24;0,00;0,01;0,00;0,00;1,69;0,00;0,00;0,00;0,00;0,02;0,09;0,07;0,69
PA04B;25;0,00;0,41;0,01;0,05;4,68;0,07;0,02;0,00;0,00;0,13;0,58;0,32;2,08
PA04B;26;0,03;0,07;0,00;0,01;0,01;0,01;0,00;0,00;0,00;0,00;0,01;0,01;0,04
PA04B;4;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,01
PA04B;5;0,02;0,00;0,00;0,00;0,00;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,01
PA04B;7;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,01
PA04B;8;0,03;0,00;0,00;0,00;0,00;0,03;0,00;0,00;0,00;0,01;0,00;0,01;0,02
PA04B;9;0,35;0,00;0,00;0,00;0,00;0,39;0,01;0,00;0,00;0,09;0,71;0,17;0,24
PA04B;10;0,07;0,00;0,00;0,00;0,00;0,56;0,00;0,01;0,00;0,57;0,81;0,08;0,26
PA04B;11;0,70;0,28;0,00;0,00;0,00;0,91;0,02;0,00;0,00;0,08;0,12;0,14;0,53
PA04C;21;21,99;60,15;4,15;3,29;2,28;1,20;1,73;0,12;0,00;1,31;0,15;10,97;51,41
PA04C;22;2,21;6,81;0,26;0,32;0,19;0,09;0,20;0,01;0,00;0,15;0,02;1,24;4,96
PA04C;23;4,35;6,39;3,79;0,71;0,29;0,01;0,06;0,02;0,00;0,06;0,02;0,00;0,00
PA04C;24;0,00;0,01;0,00;0,00;1,53;0,00;0,00;0,00;0,00;0,02;0,08;0,08;0,71
PA04C;25;0,00;0,36;0,01;0,03;5,54;0,05;0,02;0,00;0,00;0,16;0,40;0,34;2,46
PA04C;26;0,02;0,03;0,01;0,02;0,02;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,05
PA04C;4;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,01
PA04C;5;0,02;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,01
PA04C;7;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
PA04C;8;0,02;0,00;0,00;0,00;0,00;0,02;0,00;0,00;0,00;0,01;0,00;0,01;0,01
PA04C;9;0,22;0,00;0,00;0,00;0,00;0,23;0,01;0,00;0,00;0,05;0,57;0,11;0,14
PA04C;10;0,05;0,00;0,00;0,00;0,00;0,47;0,00;0,00;0,00;0,48;0,62;0,06;0,22
PA04C;11;0,58;0,32;0,00;0,00;0,00;0,76;0,01;0,00;0,00;0,06;0,11;0,12;0,46
PA14A;21;18,67;52,35;2,45;2,56;1,79;1,28;1,33;0,26;0,00;1,19;0,20;8,85;41,74
PA14A;22;10,21;33,40;0,99;1,53;0,94;0,33;0,93;0,27;0,00;0,81;0,10;5,11;21,21
PA14A;23;5,89;16,20;3,15;1,02;0,23;0,01;0,09;0,15;0,00;0,08;0,05;0,00;0,00
PA14A;24;0,01;0,00;0,00;0,00;1,04;0,00;0,00;0,00;0,00;0,01;0,04;0,07;0,44
PA14A;25;0,00;0,46;0,00;0,08;4,16;0,09;0,02;0,00;0,00;0,13;0,37;0,35;2,04
PA14A;26;0,00;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,02
PA14A;4;0,02;0,00;0,00;0,00;0,00;0,02;0,00;0,00;0,02;0,01;0,00;0,01;0,02
PA14A;5;0,02;0,00;0,00;0,00;0,00;0,02;0,00;0,00;0,00;0,00;0,00;0,01;0,01
PA14A;7;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
PA14A;8;0,03;0,00;0,00;0,00;0,00;0,03;0,00;0,00;0,00;0,01;0,01;0,02;0,02
PA14A;9;0,26;0,00;0,00;0,00;0,00;0,28;0,01;0,00;0,00;0,10;0,36;0,14;0,20
PA14A;10;0,09;0,00;0,00;0,00;0,00;0,53;0,00;0,00;0,00;0,59;0,93;0,07;0,25
PA14A;11;0,81;0,35;0,00;0,00;0,00;1,04;0,02;0,00;0,00;0,08;0,11;0,14;0,54
PA14B;21;22,91;61,54;3,83;3,33;2,25;1,65;1,57;0,13;0,00;1,41;0,17;11,57;54,18
PA14B;22;3,15;9,54;0,36;0,45;0,29;0,12;0,26;0,04;0,00;0,25;0,04;1,58;6,62
PA14B;23;5,21;7,67;4,26;0,98;0,29;0,00;0,05;0,07;0,00;0,05;0,02;0,00;0,00
PA14B;24;0,00;0,01;0,00;0,00;0,94;0,00;0,00;0,00;0,00;0,01;0,06;0,07;0,46
PA14B;25;0,00;0,48;0,00;0,07;4,53;0,07;0,01;0,00;0,00;0,12;0,52;0,36;2,21
PA14B;26;0,00;0,01;0,00;0,01;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,02
PA14B;4;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,01
PA14B;5;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00
PA14B;8;0,02;0,00;0,00;0,00;0,00;0,02;0,00;0,00;0,00;0,01;0,00;0,01;0,01
PA14B;9;0,15;0,00;0,00;0,00;0,00;0,14;0,00;0,00;0,00;0,04;0,22;0,08;0,10
PA14B;10;0,04;0,00;0,00;0,00;0,00;0,44;0,00;0,00;0,00;0,46;0,74;0,05;0,20
PA14B;11;0,58;0,33;0,00;0,00;0,00;0,77;0,01;0,00;0,00;0,07;0,10;0,11;0,44
PA15A;21;9,63;29,44;0,93;1,36;1,08;0,50;0,85;0,19;0,00;1,15;0,23;4,37;19,11
PA15A;22;21,56;76,31;1,87;3,61;2,05;0,54;1,98;0,38;0,00;2,96;0,47;9,99;42,36
PA15A;23;4,53;25,29;0,64;0,93;0,30;0,00;0,26;0,05;0,00;0,29;0,08;0,00;0,00
PA15A;24;0,00;0,00;0,00;0,00;2,31;0,00;0,00;0,00;0,00;0,02;0,08;0,08;0,88
PA15A;25;0,00;0,34;0,00;0,07;2,23;0,24;0,02;0,00;0,00;0,07;0,04;0,22;1,29
PA15A;26;0,01;0,01;0,00;0,01;0,04;0,11;0,00;0,00;0,00;0,00;0,04;0,01;0,07
PA15A;4;0,02;0,00;0,00;0,00;0,00;0,02;0,00;0,00;0,01;0,01;0,01;0,01;0,01
PA15A;5;0,02;0,00;0,00;0,00;0,00;0,02;0,00;0,00;0,00;0,00;0,00;0,01;0,01
PA15A;7;0,02;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,01
PA15A;8;0,03;0,00;0,00;0,00;0,00;0,03;0,00;0,00;0,00;0,01;0,00;0,01;0,02
PA15A;9;0,83;0,00;0,00;0,00;0,00;1,12;0,04;0,01;0,00;0,24;1,22;0,43;0,69
PA15A;10;0,12;0,00;0,00;0,00;0,00;0,86;0,00;0,01;0,00;1,02;1,78;0,11;0,40
PA15A;11;0,95;0,38;0,00;0,00;0,00;1,14;0,02;0,00;0,00;0,11;0,25;0,15;0,64
PA15B;21;9,64;31,32;1,02;1,49;1,15;0,27;0,85;0,07;0,00;1,29;0,20;4,91;20,56
PA15B;22;20,03;71,53;1,77;3,21;1,84;0,52;1,81;0,11;0,00;2,81;0,29;10,12;41,92
PA15B;23;3,76;18,02;0,64;0,84;0,28;0,00;0,15;0,02;0,00;0,19;0,11;0,00;0,00
PA15B;24;0,00;0,00;0,00;0,00;1,95;0,00;0,00;0,00;0,00;0,02;0,07;0,06;0,74
PA15B;25;0,00;0,38;0,00;0,08;2,91;0,22;0,02;0,00;0,00;0,08;0,09;0,28;1,53
PA15B;26;0,00;0,02;0,00;0,01;0,02;0,04;0,00;0,00;0,00;0,00;0,01;0,00;0,03
PA15B;4;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,01;0,00;0,01;0,01
PA15B;5;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00
PA15B;7;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
PA15B;8;0,03;0,00;0,00;0,00;0,00;0,02;0,00;0,00;0,00;0,01;0,01;0,01;0,02
PA15B;9;0,74;0,00;0,00;0,00;0,00;0,96;0,03;0,00;0,00;0,20;1,47;0,37;0,58
PA15B;10;0,10;0,00;0,00;0,00;0,00;0,76;0,00;0,01;0,00;0,85;1,39;0,10;0,36
PA15B;11;0,84;0,36;0,00;0,00;0,00;1,08;0,01;0,00;0,00;0,10;0,21;0,14;0,59
PA15C;21;15,33;46,53;2,03;2,44;1,44;0,73;1,43;0,28;0,00;1,69;0,20;7,35;33,72
PA15C;22;13,54;45,41;1,36;2,08;0,82;0,59;1,20;0,13;0,00;1,66;0,24;5,99;27,07
PA15C;23;3,68;13,50;1,05;0,76;0,23;0,01;0,09;0,01;0,00;0,15;0,03;0,00;0,00
PA15C;24;0,00;0,00;0,00;0,00;1,98;0,00;0,00;0,00;0,00;0,01;0,07;0,07;0,73
PA15C;25;0,00;0,33;0,01;0,10;3,47;0,10;0,01;0,00;0,00;0,10;0,10;0,24;1,59
