IK_MDC;IK_DRG;IK_Faelle_Anzahl;IK_PCCL0;IK_PCCL1;IK_PCCL2;IK_PCCL3;IK_PCCL4;IK_PCCL5;IK_PCCL6;IK_GeschlechtM;IK_GeschlechtW;IK_GeschlechtU;IK_AlterU28T;IK_AlterU01;IK_AlterU03;IK_AlterU06;IK_AlterU10;IK_AlterU16;IK_AlterU18;IK_AlterU30;IK_AlterU40;IK_AlterU50;IK_AlterU55;IK_AlterU60;IK_AlterU65;IK_AlterU75;IK_AlterU80;IK_AlterU99;IK_VWD_Kurz;IK_VWD_Norm;IK_VWD_Lang;IK_uGVD;IK_oGVD;IK_VWD_MW;IK_Bewertungsrelation;IK_Gesamt;IK_VWD_STD
14 ;O65A;13046;0,6127;0,1474;0,0736;0,164;0,0024;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0014;0,0077;0,3949;0,5447;0,0502;0,0008;0,0004;0,00;0,00;0,00;0,00;0,8282;0,1427;0,0291;1;10;4,10;0,503;0,001;2,00
14 ;O65B;117041;0,7977;0,1453;0,057;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0032;0,0138;0,516;0,4335;0,0332;0,0002;0,00;0,00;0,00;0,00;0,00;0,00;0,9328;0,0672;;9;3,40;0,422;0,0085;1,60
15 ;P01Z;75;0,0133;0,00;0,00;0,0533;0,1333;0,64;0,16;0,48;0,52;0,00;0,96;0,04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;;;2,50;3,07;0,00;1,30
15 ;P02A;108;0,00;0,00;0,00;0,00;0,037;0,2593;0,7037;0,5926;0,4074;0,00;0,9815;0,0185;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0067;0,7248;0,2685;22;86;51,30;34,584;0,00;15,20
15 ;P02B;279;0,00;0,00;0,00;0,0287;0,1613;0,5161;0,2939;0,6093;0,3907;0,00;0,9928;0,0072;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0422;0,6923;0,2655;9;47;26,60;16,071;0,00;9,50
15 ;P02C;235;0,0043;0,00;0,0043;0,0809;0,3149;0,5404;0,0553;0,6298;0,3702;0,00;0,9957;0,0043;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0327;0,8545;0,1127;6;35;19,20;10,647;0,00;7,10
15 ;P03A;742;0,0013;0,00;0,00;0,2709;0,3612;0,3208;0,0458;0,6267;0,3733;0,00;0,9717;0,0283;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,8048;0,1952;20;81;58,40;20,277;0,0001;13,20
15 ;P03B;1030;0,0058;0,00;0,00;0,3971;0,3573;0,2291;0,0107;0,5437;0,4563;0,00;0,9864;0,0136;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0641;0,8149;0,121;15;66;46,20;13,338;0,0001;11,20
15 ;P03C;1216;0,3002;0,00;0,0016;0,5518;0,1168;0,0288;0,0008;0,5173;0,4827;0,00;0,9836;0,0164;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0484;0,8533;0,0982;15;65;44,00;12,293;0,0001;10,70
15 ;P04A;288;0,0035;0,00;0,00;0,2396;0,3715;0,3056;0,0799;0,7049;0,2951;0,00;0,941;0,059;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0476;0,7218;0,2306;14;62;41,20;13,941;0,00;10,90
