ka_Pepp;ka_Verguetungsklasse;ka_Relgew
PA14B;8;1,0442
PA14B;9;1,0166
PA14B;10;0,9889
PA14B;11;0,9613
PA14B;12;0,9337
PA15A;1;1,6003
PA15A;2;1,5649
PA15A;3;1,5413
PA15A;4;1,5176
PA15A;5;1,4939
PA15A;6;1,4703
PA15A;7;1,4466
PA15A;8;1,423
PA15A;9;1,3993
PA15A;10;1,3757
PA15A;11;1,352
PA15A;12;1,3284
PA15A;13;1,3047
PA15A;14;1,2811
PA15A;15;1,2574
PA15B;1;1,5429
PA15B;2;1,5098
PA15B;3;1,4867
PA15B;4;1,4636
PA15B;5;1,4404
PA15B;6;1,4173
PA15B;7;1,3942
PA15B;8;1,371
PA15B;9;1,3479
PA15B;10;1,3248
PA15B;11;1,3016
PA15B;12;1,2785
PA15B;13;1,2554
PA15B;14;1,2322
PA15B;15;1,2091
PA15B;16;1,1859
PA15C;1;1,4682
PA15C;2;1,4362
PA15C;3;1,4133
PA15C;4;1,3904
PA15C;5;1,3675
PA15C;6;1,3446
PA15C;7;1,3216
PA15C;8;1,2987
PA15C;9;1,2758
PA15C;10;1,2529
PA15C;11;1,23
PA15C;12;1,2071
PA15C;13;1,1841
PA15C;14;1,1612
PA15C;15;1,1383
PA15C;16;1,1154
PA15C;17;1,0925
PA15C;18;1,0695
PK01A;1;2,3081
PK01A;2;2,3081
PK01A;3;2,2486
PK01A;4;2,1903
PK01A;5;2,1319
PK01A;6;2,0735
PK01A;7;2,0151
PK01A;8;1,9567
PK01A;9;1,8983
PK01A;10;1,8399
PK01A;11;1,7815
PK01B;1;2,027
PK01B;2;2,027
PK01B;3;1,9767
PK01B;4;1,9273
PK01B;5;1,8779
PK01B;6;1,8284
PK01B;7;1,779
PK01B;8;1,7295
PK01B;9;1,6801
PK01B;10;1,6307
PK01B;11;1,5812
PK02A;1;2,3792
PK02A;2;2,3255
PK02A;3;2,2836
PK02A;4;2,2417
PK02A;5;2,1998
PK02A;6;2,1579
PK02A;7;2,116
PK02A;8;2,0741
PK02A;9;2,0322
PK02A;10;1,9903
PK02A;11;1,9484
PK02A;12;1,9065
PK02A;13;1,8646
PK02A;14;1,8226
PK02B;1;2,2341
PK02B;2;2,1371
PK02B;3;2,0829
PK02B;4;2,0287
PK02B;5;1,9745
PK02B;6;1,9202
PK02B;7;1,866
PK02B;8;1,8118
PK02B;9;1,7576
PK02B;10;1,7034
PK02B;11;1,6492
PK02B;12;1,595
PK02B;13;1,5408
PK02B;14;1,4866
PK02B;15;1,4323
PK03Z;1;2,1712
PK03Z;2;2,1712
PK03Z;3;2,1381
PK03Z;4;2,1046
PK03Z;5;2,0711
PK03Z;6;2,0375
PK03Z;7;2,004
PK03Z;8;1,9705
PK03Z;9;1,937
PK03Z;10;1,9035
PK03Z;11;1,87
PK03Z;12;1,8365
PK03Z;13;1,803
PK03Z;14;1,7695
PK03Z;15;1,7359
PK04A;1;2,2634
PK04A;2;2,0543
PK04A;3;2,0299
PK04A;4;2,0032
PK04A;5;1,9765
PK04A;6;1,9498
PK04A;7;1,9231
PK04A;8;1,8964
PK04A;9;1,8697
PK04A;10;1,843
PK04A;11;1,8163
PK04A;12;1,7896
PK04A;13;1,7629
PK04A;14;1,7361
PK04A;15;1,7094
PK04A;16;1,6827
PK04A;17;1,656
PK04B;1;2,1573
PK04B;2;1,9907
PK04B;3;1,9609
PK04B;4;1,9344
PK04B;5;1,908
PK04B;6;1,8815
PK04B;7;1,855
PK04B;8;1,8286
PK04B;9;1,8021
PK04B;10;1,7756
PK04B;11;1,7491
PK04B;12;1,7227
PK04B;13;1,6962
PK04B;14;1,6697
PK04B;15;1,6432
PK04B;16;1,6168
PK04B;17;1,5903
PK04B;18;1,5638
PK04B;19;1,5374
PK04B;20;1,5109
PK04C;1;2,1265
PK04C;2;1,943
PK04C;3;1,9102
PK04C;4;1,8791
PK04C;5;1,8479
PK04C;6;1,8168
PK04C;7;1,7857
PK04C;8;1,7546
PK04C;9;1,7234
PK04C;10;1,6923
PK04C;11;1,6612
PK04C;12;1,63
PK04C;13;1,5989
PK04C;14;1,5678
PK04C;15;1,5367
PK04C;16;1,5055
PK04C;17;1,4744
PK04C;18;1,4433
PK04C;19;1,4122
PK04C;20;1,381
PK10A;1;1,7037
PK10B;1;1,2932
PK14A;1;2,1569
PK14A;2;2,1344
PK14A;3;2,1085
PK14A;4;2,0825
PK14A;5;2,0566
PK14A;6;2,0306
PK14A;7;2,0047
PK14A;8;1,9787
PK14A;9;1,9528
PK14A;10;1,9269
PK14A;11;1,9009
PK14A;12;1,875
PK14A;13;1,849
PK14A;14;1,8231
PK14A;15;1,7971
PK14A;16;1,7712
PK14B;1;2,1104
PK14B;2;2,0777
PK14B;3;2,0507
PK14B;4;2,0237
PK14B;5;1,9966
PK14B;6;1,9696
PK14B;7;1,9426
PK14B;8;1,9156
PK14B;9;1,8886
PK14B;10;1,8616
PK14B;11;1,8346
PK14B;12;1,8076
PK14B;13;1,7806
PK14B;14;1,7535
PK14B;15;1,7265
PK14B;16;1,6995
PK14B;17;1,6725
PK14B;18;1,6455
PK14B;19;1,6185
PK14B;20;1,5915
PK14C;1;2,0503
PK14C;2;2,0189
PK14C;3;1,9883
PK14C;4;1,9577
PK14C;5;1,9271
PK14C;6;1,8965
PK14C;7;1,8659
PK14C;8;1,8353
PK14C;9;1,8047
PK14C;10;1,7741
PK14C;11;1,7435
PK14C;12;1,7129
PK14C;13;1,6823
PK14C;14;1,6517
PK14C;15;1,6211
PK14C;16;1,5905
PK14C;17;1,5598
PK14C;18;1,5292
PK14C;19;1,4986
PK14C;20;1,468
PP04A;1;1,0788
PP04A;2;1,0629
PP04A;3;1,0476
PP04A;4;1,0323
PP04A;5;1,017
PP04A;6;1,0017
PP04A;7;0,9864
PP04A;8;0,9711
PP04A;9;0,9558
PP04A;10;0,9406
PP04A;11;0,9253
PP04A;12;0,91
PP04A;13;0,8947
PP04A;14;0,8794
PP04A;15;0,8641
PP04A;16;0,8488
PP04A;17;0,8335
PP04B;1;1,0078
PP04B;2;0,9925
PP04B;3;0,977
PP04B;4;0,9616
PP04B;5;0,9461
PP04B;6;0,9307
PP04B;7;0,9152
PP04B;8;0,8998
PP04B;9;0,8843
PP04B;10;0,8689
PP04B;11;0,8534
PP04B;12;0,838
PP04B;13;0,8226
PP04B;14;0,8071
PP04B;15;0,7917
PP04B;16;0,7762
PP04B;17;0,7608
PP04B;18;0,7453
PP10A;1;0,9203
PP10B;1;0,8069
PP14Z;1;0,8714
TA02Z;1;0,8399
TA15Z;1;0,8494
TA19Z;1;0,8005
TA20Z;1;0,7434
TK04Z;1;1,2059
TK14Z;1;1,3159
TP20Z;1;0,7434
