kd_Pepp;kd_FaelleAnzahl;kd_SummePflegetage;kd_PflegetageMw;kd_PflegetageStd;kd_PflegetageHK;kd_GeschlechtM;kd_GeschlechtW;kd_AlterMw;kd_AlterStd;kd_AlterU28T;kd_AlterU01;kd_AlterU03;kd_AlterU06;kd_AlterU10;kd_AlterU16;kd_AlterU18;kd_AlterU30;kd_AlterU40;kd_AlterU50;kd_AlterU55;kd_AlterU60;kd_AlterU65;kd_AlterU75;kd_AlterU80;kd_AlterU99;kd_TageskostenMw;kd_TageskostenStd;kd_TageskostenHK;kd_Degressionsendpunkt
PA03A;11046;423456;38,3357;36,7967;0,5102;0,4336;0,5664;55,2122;16,9536;0,00;0,00;0,00;0,00;0,00;0,00;0,0002;0,0902;0,1244;0,1374;0,1003;0,1076;0,0796;0,2236;0,0789;0,0578;280,79;79,54;0,7793;12
PA03B;28727;886397;30,8559;32,3039;0,4885;0,5992;0,4008;40,4927;12,1962;0,00;0,00;0,00;0,00;0,00;0,00;0,0003;0,2219;0,2751;0,2191;0,1228;0,0985;0,0622;0,00;0,00;0,00;255,82;69,49;0,7864;18
PA04A;8466;300016;35,4378;31,9796;0,5256;0,4034;0,5966;64,5926;20,4243;0,00;0,00;0,00;0,00;0,00;0,00;0,0006;0,0884;0,0627;0,0826;0,0589;0,0633;0,0626;0,1728;0,1184;0,2897;276,12;78,53;0,7786;18
PA04B;18358;635187;34,60;29,6852;0,5382;0,381;0,6189;61,2863;18,212;0,00;0,00;0,00;0,00;0,00;0,00;0,0006;0,0897;0,0831;0,0791;0,0549;0,045;0,0337;0,3256;0,1744;0,1138;253,88;71,36;0,7806;21
PA04C;58325;1759537;30,1678;28,4362;0,5148;0,4662;0,5337;39,8439;13,8018;0,00;0,00;0,00;0,00;0,00;0,0002;0,0007;0,3001;0,1867;0,1972;0,1314;0,1105;0,0732;0,00;0,00;0,00;235,58;67,81;0,7765;20
PA14A;2433;74001;30,4155;30,4227;0,4999;0,2943;0,7045;35,2926;14,6359;0,00;0,00;0,00;0,00;0,00;0,00;0,0012;0,4517;0,224;0,1315;0,0674;0,0534;0,0275;0,0271;0,0078;0,0082;280,91;86,27;0,765;10
PA14B;8917;228510;25,6263;27,2879;0,4843;0,2906;0,7094;29,4454;10,3218;0,00;0,00;0,00;0,00;0,00;0,00;0,0013;0,6048;0,218;0,1118;0,041;0,0175;0,0055;0,00;0,00;0,00;248,96;79,96;0,7569;12
PA15A;8107;210560;25,9726;20,2933;0,5614;0,499;0,501;78,7526;10,7837;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0025;0,0035;0,0106;0,0165;0,0295;0,0381;0,1631;0,1822;0,5541;332,80;77,19;0,8117;15
PA15B;12714;303439;23,8665;18,8927;0,5582;0,4433;0,5567;79,8381;9,4385;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0021;0,0039;0,006;0,0078;0,0138;0,0241;0,1515;0,2139;0,5769;315,30;83,14;0,7913;16
PA15C;3047;80507;26,4217;23,2262;0,5322;0,5254;0,4742;69,275;12,4359;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0148;0,02;0,0371;0,0519;0,0712;0,0663;0,3055;0,2281;0,2051;285,86;118,19;0,7075;18
PK01A;268;8842;32,9925;33,2342;0,4982;0,7948;0,2052;13,0112;3,1911;0,00;0,00;0,00;0,0112;0,1754;0,5149;0,2948;0,0037;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;479,78;139,74;0,7744;11
PK01B;293;11968;40,8464;36,7257;0,5266;0,7167;0,2833;12,2696;3,5528;0,00;0,00;0,00;0,0205;0,2287;0,5256;0,2014;0,0239;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;412,83;112,69;0,7856;11
PK02A;583;12187;20,9039;19,2814;0,5202;0,6672;0,3328;15,9194;1,2008;0,00;0,00;0,00;0,00;0,00;0,3225;0,6484;0,0292;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;479,92;109,48;0,8143;14
PK02B;270;3722;13,7852;24,9384;0,356;0,6222;0,3778;16,1148;1,0725;0,00;0,00;0,00;0,00;0,00;0,2667;0,7074;0,0259;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;387,97;172,27;0,6925;15
PK03Z;369;17816;48,2818;50,2751;0,4899;0,5827;0,4173;15,9431;1,4853;0,00;0,00;0,00;0,00;0,00;0,3306;0,607;0,0623;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;452,38;141,15;0,7622;15
PK04A;3949;109268;27,6698;36,1577;0,4335;0,2907;0,7093;14,5348;2,4491;0,00;0,00;0,0005;0,0096;0,0344;0,5439;0,3983;0,0132;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;444,76;119,82;0,7878;17
PK04B;1967;75525;38,396;37,1467;0,5083;0,3213;0,6787;11,5109;2,3737;0,00;0,0015;0,0076;0,0249;0,12;0,8307;0,0147;0,0005;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;398,63;118,66;0,7706;20
PK04C;5962;202065;33,8922;37,7074;0,4734;0,2705;0,7295;15,7056;1,2126;0,00;0,00;0,00;0,00;0,00;0,4446;0,5236;0,0317;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;370,22;142,50;0,7221;20
PK10A;533;35585;66,7636;51,7061;0,5636;0,1088;0,8912;13,0919;4,2653;0,00;0,0169;0,0525;0,0244;0,0281;0,5872;0,2814;0,0094;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;448,29;114,24;0,7969;1
PK10B;461;33390;72,4295;56,0382;0,5638;0,0434;0,9566;15,3124;1,5159;0,00;0,00;0,00;0,00;0,00;0,5163;0,4555;0,0282;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;339,79;124,35;0,7321;1
PK14A;1951;65463;33,5536;31,8724;0,5128;0,6094;0,3906;11,5418;3,8214;0,00;0,00;0,0015;0,04;0,2952;0,4864;0,1748;0,0021;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;469,13;116,89;0,8005;16
PK14B;1931;77609;40,1911;34,6947;0,5367;0,6862;0,3138;10,9089;1,6574;0,00;0,00;0,00;0,00;0,2408;0,7592;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;421,19;106,74;0,7978;20
PK14C;1587;40616;25,5929;30,254;0,4583;0,4461;0,5539;15,4928;1,2107;0,00;0,00;0,00;0,00;0,00;0,5167;0,46;0,0233;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;395,89;153,24;0,7209;20
PP04A;3465;140049;40,4182;22,083;0,6467;0,2886;0,7114;54,2225;18,0973;0,00;0,00;0,00;0,00;0,00;0,00;0,0006;0,1356;0,1016;0,1313;0,0973;0,0898;0,0447;0,273;0,0831;0,043;217,26;64,80;0,7703;17
PP04B;14067;576020;40,9483;19,8982;0,673;0,3457;0,6543;43,5293;13,2523;0,00;0,00;0,00;0,00;0,00;0,0001;0,0012;0,2075;0,1543;0,2067;0,1801;0,159;0,0911;0,00;0,00;0,00;191,22;54,99;0,7767;18
PP10A;1042;61589;59,1065;40,1146;0,5957;0,0825;0,9175;28,786;11,2121;0,00;0,00;0,00;0,00;0,00;0,00;0,0106;0,6468;0,1737;0,0873;0,0451;0,0211;0,0106;0,0038;0,00;0,001;244,45;78,56;0,7568;1
PP10B;472;23719;50,2521;26,6451;0,6535;0,0657;0,9343;30,3178;11,9228;0,00;0,00;0,00;0,00;0,00;0,00;0,0042;0,6038;0,1886;0,1017;0,0508;0,0318;0,0085;0,0064;0,0021;0,0021;210,56;66,35;0,7604;1
PP14Z;833;38230;45,8944;28,7423;0,6149;0,2677;0,7323;33,2005;12,4892;0,00;0,00;0,00;0,00;0,00;0,00;0,0024;0,479;0,2365;0,1537;0,066;0,0336;0,012;0,0108;0,0036;0,0024;231,65;55,19;0,8076;1
TA02Z;2712;38106;14,0509;10,0337;0,5834;0,6958;0,3042;42,2242;13,0356;0,00;0,00;0,00;0,00;0,00;0,00;0,0015;0,1928;0,2371;0,2412;0,135;0,0973;0,0568;0,0343;0,0041;0,00;220,48;63,53;0,7763;1
TA15Z;648;11473;17,7052;14,6487;0,5472;0,446;0,554;74,2392;10,4037;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0077;0,0123;0,0139;0,0108;0,0201;0,0556;0,2793;0,2824;0,3179;224,11;59,72;0,7896;1
TA19Z;4812;134070;27,8616;17,613;0,6127;0,3109;0,6891;65,8044;16,6984;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,064;0,0522;0,052;0,0308;0,0362;0,0181;0,3905;0,201;0,1554;210,03;65,30;0,7628;1
TA20Z;29784;860387;28,8876;18,343;0,6116;0,4204;0,5795;40,1004;13,1481;0,00;0,00;0,00;0,00;0,00;0,00;0,0005;0,2751;0,2128;0,2037;0,1349;0,1121;0,0609;0,00;0,00;0,00;195,23;56,33;0,7761;1
TK04Z;2826;112288;39,7339;26,8431;0,5968;0,4084;0,5916;13,3712;3,0049;0,00;0,00;0,0004;0,0074;0,1221;0,5824;0,2693;0,0184;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;315,71;72,74;0,8127;1
TK14Z;2916;124615;42,7349;27,8166;0,6057;0,6876;0,3124;10,7047;3,2888;0,00;0,00;0,001;0,0291;0,3865;0,4818;0,0909;0,0106;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;344,18;79,21;0,8129;1
TP20Z;5406;161984;29,9637;16,4404;0,6457;0,3167;0,6833;41,1831;13,1354;0,00;0,00;0,00;0,00;0,00;0,00;0,0002;0,239;0,2199;0,2262;0,1332;0,1125;0,0446;0,0202;0,003;0,0013;195,23;56,33;0,7761;1
