IO_DRG;IO_BereichNr;IO_KArt1;IO_KArt2;IO_KArt3;IO_KArt4a;IO_KArt4b;IO_KArt5;IO_KArt6a;IO_KArt6b;IO_KArt6c;IO_KArt7;IO_KArt8;IO_Summe
A11F;12;7,94;4,90;264,35;0,18;0,31;0,00;5,24;1,73;54,66;10,50;92,87;442,68
A11F;13;45,14;11,39;41,41;1,46;0,97;0,00;6,18;0,12;0,01;8,04;30,77;145,49
A11G;1;269,95;659,69;37,73;53,27;24,76;0,00;56,77;2,44;21,83;154,89;361,61;1642,94
A11G;2;5725,29;10566,50;269,00;964,91;199,52;0,00;1852,68;46,00;22,51;1619,47;3835,38;25101,26
A11G;4;60,64;0,00;38,13;1,28;1,84;0,27;16,64;9,50;0,00;22,32;35,05;185,67
A11G;5;57,88;0,00;32,03;2,56;0,01;0,00;9,67;0,11;4,61;6,81;12,77;126,45
A11G;7;0,97;0,00;1,05;0,03;0,00;0,00;0,14;0,00;0,00;0,42;0,62;3,23
A11G;8;92,06;0,00;67,71;1,96;0,10;1,77;21,74;12,47;0,00;53,96;50,29;302,06
A11G;9;233,41;0,00;212,32;3,79;6,91;0,00;48,49;29,43;30,97;118,19;155,52;839,03
A11G;10;82,42;0,00;283,05;3,93;37,98;0,00;233,01;24,02;215,94;45,53;125,86;1051,74
A11G;11;130,65;3,02;127,64;1,07;0,00;0,00;8,41;0,00;17,44;21,79;56,88;366,90
A11G;12;42,01;1,71;546,74;0,18;0,00;0,00;9,42;0,00;126,25;25,56;179,40;931,27
A11G;13;38,98;9,44;32,82;1,77;0,00;0,00;3,86;0,00;0,00;8,71;23,42;119,00
A11H;1;287,23;654,49;27,00;54,25;10,41;0,00;58,82;3,91;22,43;152,59;433,35;1704,48
A11H;2;5070,01;9844,58;169,09;949,68;161,72;0,00;1774,63;88,55;31,61;1287,44;3385,59;22762,90
A11H;4;18,16;0,00;16,81;0,82;0,05;0,91;8,36;1,90;1,57;9,97;15,22;73,77
A11H;5;28,18;0,00;15,19;1,32;0,10;0,00;4,91;0,12;0,00;3,72;6,94;60,48
A11H;7;26,00;0,00;32,39;1,45;0,46;11,21;18,05;55,88;11,53;15,23;23,42;195,62
A11H;8;96,74;0,00;111,16;3,40;0,01;0,45;43,85;12,63;0,00;50,00;66,04;384,28
A11H;9;142,24;0,00;153,18;1,73;0,96;0,24;23,41;29,66;79,38;61,16;102,25;594,21
A11H;10;53,33;0,00;283,22;8,56;166,17;0,00;229,50;9,82;288,03;41,52;119,10;1199,25
A11H;11;84,16;0,89;68,39;2,16;0,00;0,00;8,57;0,00;3,73;14,17;34,49;216,56
A11H;12;5,51;4,00;315,49;0,25;3,61;0,00;3,78;0,10;66,41;11,94;105,76;516,85
A11H;13;36,07;8,73;30,69;1,43;0,16;0,00;4,41;0,00;0,00;6,14;23,18;110,81
A11I;1;191,28;424,37;19,32;34,31;14,24;0,00;41,32;3,98;4,74;104,86;317,89;1156,31
A11I;2;3690,81;7879,28;227,39;671,23;41,27;0,00;1224,53;35,71;16,49;1000,92;2709,31;17496,94
A11I;4;16,00;0,00;10,33;0,36;0,10;0,91;4,24;2,45;0,34;5,75;8,28;48,76
A11I;5;15,88;0,00;9,34;0,80;0,03;0,00;2,87;0,00;0,00;1,81;4,12;34,85
A11I;7;11,94;0,00;14,34;0,84;0,45;5,93;7,28;21,37;11,79;5,98;8,79;88,71
A11I;8;57,22;0,00;73,37;4,98;0,82;0,07;26,43;8,32;1,01;29,71;41,17;243,10
A11I;9;56,69;0,00;79,32;0,64;0,04;0,45;10,40;1,30;48,66;26,25;49,31;273,06
A11I;10;24,48;0,00;168,31;5,00;54,37;0,00;122,68;8,09;215,89;21,53;64,43;684,78
A11I;11;57,36;0,80;49,59;0,77;0,00;0,00;7,01;0,00;6,94;9,34;23,60;155,41
A11I;12;6,95;2,87;388,74;0,30;0,00;0,00;4,47;0,00;27,84;17,00;141,87;590,04
A11I;13;27,18;8,54;28,67;1,04;0,98;0,00;3,87;0,08;0,09;6,19;20,33;96,97
A13A;1;410,95;853,51;35,36;70,42;64,06;0,00;82,06;36,41;23,84;204,12;523,92;2304,65
A13A;2;7002,77;13687,94;276,55;1285,09;1127,24;48,56;2786,86;140,72;55,19;2113,54;5259,06;33783,52
A13A;4;1275,21;0,00;950,97;56,55;123,64;1085,08;627,67;616,25;210,56;544,89;801,18;6292,00
A13A;5;827,29;0,00;512,47;53,53;48,81;0,00;195,47;12,48;19,68;112,22;224,69;2006,64
A13A;7;73,54;0,00;69,58;3,90;1,04;288,11;42,77;107,87;2,18;36,36;56,29;681,64
