ko_Pepp;ko_BereichNr;ko_KArt1;ko_KArt2;ko_KArt3a;ko_KArt3b;ko_KArt3c;ko_KArt3;ko_KArt4a;ko_KArt4b;ko_KArt6a;ko_KArt6b;ko_KArt7;ko_KArt8;ko_Summe
PA02B;22;14,7;53,92;1,89;3,1;1,78;0,75;1,61;0,23;1,17;0,24;9,82;36,17;125,39
PA02B;23;3,9;11,01;1,36;1,14;0,42;0,02;0,12;0,15;0,09;0,04;0,01;0,04;18,32
PA02B;24;0,02;0,01;0;0;0,47;0,02;0;0;0,01;0,02;0,03;0,27;0,84
PA02B;25;0,02;0,58;0;0,01;2,36;0,09;0;0;0,07;0,02;0,22;1,38;4,76
PA02B;26;0,19;0,06;0,01;0;0,08;0;0;0;0;0;0;0,05;0,41
PA02C;4;0,01;0;0;0;0;0,01;0;0;0;0;0;0,01;0,03
PA02C;5;0,01;0;0;0;0;0,01;0;0;0;0;0;0;0,02
PA02C;7;0;0;0;0;0;0;0;0;0;0;0;0;0,01
PA02C;8;0,03;0;0;0;0;0,02;0;0;0;0,01;0,01;0,01;0,09
PA02C;9;0,19;0;0;0;0;0,29;0,01;0;0,12;0,39;0,13;0,22;1,35
PA02C;10;0,09;0;0;0;0;0,97;0;0;1,2;1,18;0,13;0,43;4
PA02C;11;0,71;0,88;0;0;0;0,87;0,01;0;0,07;0,11;0,13;0,84;3,61
PA02C;21;17,06;49,38;2,26;3,52;1,57;1,14;1,32;0,05;1,05;0,17;9,83;40,39;127,75
PA02C;22;9,35;29,57;1,18;2,06;0,82;0,44;0,7;0,03;0,64;0,09;6,25;22,56;73,7
PA02C;23;4,02;6,71;1,3;1,31;0,54;0,02;0,13;0,02;0,1;0,02;0;0,01;14,19
PA02C;24;0,03;0,08;0,01;0,01;0,72;0,01;0;0;0,02;0,07;0,02;0,34;1,31
PA02C;25;0,02;0,2;0,02;0,02;2,62;0,06;0;0;0,07;0;0,17;1,26;4,45
PA02C;26;0,1;0,09;0,02;0,01;0,02;0;0;0;0;0;0,01;0,08;0,33
PA02D;4;0,01;0;0;0;0;0,01;0;0;0;0;0,01;0,01;0,04
PA02D;5;0,01;0;0;0;0;0,01;0;0;0;0;0;0;0,02
PA02D;7;0;0;0;0;0;0;0;0;0;0;0;0;0,01
PA02D;8;0,03;0;0;0;0;0,03;0;0;0,01;0,01;0,01;0,02;0,1
PA02D;9;0,29;0;0;0;0;0,35;0,01;0;0,07;0,39;0,17;0,22;1,49
PA02D;10;0,2;0;0;0;0;1,68;0;0;1,39;1,71;0,22;0,68;5,88
PA02D;11;0,84;0,64;0;0;0;1,38;0,02;0;0,11;0,09;0,17;0,83;4,07
PA02D;21;18,78;52,79;3,38;3,13;1,67;0,87;1,64;0,09;0,98;0,18;10,13;40,98;134,63
PA02D;22;9,19;27,95;0,95;1,33;1,11;0,47;0,89;0,02;0,56;0,05;5,04;19,75;67,31
PA02D;23;4,47;8,54;1,87;1,13;0,26;0,02;0,11;0,09;0,08;0,07;0;0,02;16,65
PA02D;24;0,02;0,05;0,01;0,01;0,85;0;0;0;0,01;0,07;0,04;0,42;1,48
PA02D;25;0,04;1,26;0,02;0,07;2,52;0,28;0;0;0,1;0,12;0,35;2,04;6,79
PA02D;26;0,06;0,06;0,01;0,01;0,07;0;0;0;0;0;0,01;0,11;0,34
PA03A;4;0,01;0;0;0;0;0,01;0;0;0,01;0;0,01;0,01;0,06
PA03A;5;0,02;0;0;0;0;0,01;0;0;0;0;0;0;0,03
PA03A;7;0;0;0;0;0;0;0;0;0;0;0;0;0,01
PA03A;8;0,03;0;0;0;0;0,02;0;0;0,01;0;0,01;0,01;0,08
PA03A;9;0,25;0;0;0;0;0,36;0,01;0;0,07;0,54;0,14;0,21;1,58
PA03A;10;0,06;0;0;0;0;0,53;0;0;0,51;0,82;0,08;0,23;2,24
PA03A;11;0,54;0,23;0;0;0;0,74;0,01;0;0,06;0,09;0,1;0,45;2,22
PA03A;21;15,3;45,73;1,81;2,33;1,34;0,9;1,71;0,29;1,18;0,16;7,57;34,8;113,12
PA03A;22;11,97;38,67;1,03;1,8;1,2;0,55;1,48;0,19;0,95;0,07;6,58;26,47;90,96
PA03A;23;3,04;12,88;0,78;0,72;0,17;0;0,19;0,04;0,11;0,02;0,01;0,03;18
PA03A;24;0,02;0,06;0;0;0,99;0,03;0;0;0,02;0,08;0,05;0,49;1,75
PA03A;25;0,04;0,3;0,01;0,06;3,16;0,14;0,01;0;0,12;0,1;0,21;1,54;5,68
PA03A;26;0,1;0,13;0,01;0,01;0,03;0;0;0;0;0,01;0,01;0,07;0,36
PA03B;4;0,01;0;0;0;0;0,01;0;0;0;0;0;0,01;0,03
PA03B;5;0,01;0;0;0;0;0,01;0;0;0;0;0;0;0,02
PA03B;7;0;0;0;0;0;0,01;0;0;0;0;0;0;0,01
PA03B;8;0,02;0;0;0;0;0,01;0;0;0;0;0,01;0,01;0,05
PA03B;9;0,19;0;0;0;0;0,24;0,01;0;0,05;0,46;0,1;0,15;1,19
