ko_Pepp;ko_BereichNr;ko_KArt1;ko_KArt2;ko_KArt3a;ko_KArt3b;ko_KArt3c;ko_KArt3;ko_KArt4a;ko_KArt4b;ko_KArt6a;ko_KArt6b;ko_KArt7;ko_KArt8;ko_Summe
PA03B;10;0,06;0;0;0;0;0,54;0;0;0,52;0,76;0,08;0,24;2,2
PA03B;11;0,48;0,23;0;0;0;0,73;0,01;0;0,06;0,07;0,1;0,45;2,14
PA03B;21;18,56;53,8;2,78;2,98;1,57;0,99;2,08;0,31;1;0,14;9,36;42,69;136,26
PA03B;22;7,07;21,9;0,58;1,05;0,73;0,35;0,85;0,13;0,42;0,03;3,93;15,58;52,62
PA03B;23;3,06;6,86;1;0,77;0,21;0,01;0,11;0,07;0,06;0,02;0,01;0,03;12,18
PA03B;24;0,03;0,07;0,01;0;0,74;0,03;0;0;0,01;0,06;0,04;0,37;1,35
PA03B;25;0,04;0,43;0,02;0,05;4,14;0,1;0;0;0,16;0,19;0,27;2,12;7,54
PA03B;26;0,08;0,09;0,01;0,01;0,04;0;0;0;0;0;0,01;0,1;0,33
PA04A;4;0,01;0;0;0;0;0,01;0;0;0;0;0;0,01;0,04
PA04A;5;0,02;0;0;0;0;0,02;0;0;0,01;0;0;0,01;0,06
PA04A;7;0;0;0;0;0;0;0;0;0;0;0;0;0,01
PA04A;8;0,03;0;0;0;0;0,03;0;0;0,01;0;0,01;0,01;0,09
PA04A;9;0,39;0;0;0;0;0,51;0,01;0,01;0,11;0,74;0,22;0,33;2,31
PA04A;10;0,07;0;0;0;0;0,61;0;0;0,61;0,82;0,09;0,26;2,47
PA04A;11;0,77;0,24;0;0;0;0,89;0,01;0;0,07;0,13;0,12;0,57;2,79
PA04A;21;17,37;54,75;3,17;2,84;1,75;0,92;1,89;0,2;1,36;0,29;8,68;40,65;133,85
PA04A;22;9,43;30,54;1,07;1,33;0,97;0,49;1,07;0,08;0,8;0,1;5,32;21,07;72,28
PA04A;23;4,86;15,15;2,28;0,71;0,28;0;0,25;0,01;0,16;0,08;0,01;0,05;23,86
PA04A;24;0,05;0,09;0,01;0;1,78;0,05;0;0;0,03;0,11;0,08;0,88;3,08
PA04A;25;0,04;0,33;0,02;0,06;4,16;0,15;0;0;0,13;0,04;0,29;1,92;7,15
PA04A;26;0,2;0,22;0,01;0,01;0,07;0,01;0;0;0;0,01;0,01;0,08;0,62
PA04B;4;0,01;0;0;0;0;0,01;0;0;0;0;0;0,01;0,03
PA04B;5;0,01;0;0;0;0;0,01;0;0;0;0;0;0,01;0,04
PA04B;7;0,01;0;0;0;0;0,01;0;0;0;0;0;0;0,02
PA04B;8;0,04;0;0;0;0;0,04;0;0;0,01;0;0,01;0,02;0,13
PA04B;9;0,32;0;0;0;0;0,44;0,01;0;0,09;0,7;0,19;0,27;2,03
PA04B;10;0,05;0;0;0;0;0,49;0;0,01;0,47;0,83;0,07;0,2;2,13
PA04B;11;0,61;0,2;0;0;0;0,83;0,01;0;0,07;0,08;0,11;0,48;2,4
PA04B;21;20,5;63,95;4,03;2,93;2,09;1,16;2,18;0,21;1,6;0,24;10,64;49,78;159,32
PA04B;22;3,94;12,67;0,42;0,51;0,42;0,22;0,47;0,04;0,36;0,03;2,48;9,38;30,95
PA04B;23;3,27;8,12;1,93;0,56;0,22;0;0,12;0,03;0,09;0,09;0,01;0,03;14,46
PA04B;24;0,03;0,06;0,01;0;1,95;0,09;0;0;0,03;0,1;0,09;0,92;3,28
