kd_Pepp;kd_FaelleAnzahl;kd_FaelleAnzahlVgst1;kd_FaelleAnzahlVgst2;kd_FaelleAnzahlVgst3;kd_FaelleAnzahlVgst4;kd_FaelleAnzahlVgst5;kd_FaelleAnteilVstufe1;kd_FaelleAnteilVstufe2;kd_FaelleAnteilVstufe3;kd_FaelleAnteilVstufe4;kd_FaelleAnteilVstufe5;kd_TageAnzahlVgst1;kd_TageAnzahlVgst2;kd_TageAnzahlVgst3;kd_TageAnzahlVgst4;kd_TageAnzahlVgst5;kd_VwdSummeTage;kd_VwdMw;kd_VwdStd;kd_VwdHK;kd_VwdVonVgst1;kd_VwdBisVgst1;kd_BewertungsrelationTagVgst1;kd_VwdVonVgst2;kd_VwdBisVgst2;kd_BewertungsrelationTagVgst2;kd_VwdVonVgst3;kd_VwdBisVgst3;kd_BewertungsrelationTagVgst3;kd_VwdVonVgst4;kd_VwdBisVgst4;kd_BewertungsrelationTagVgst4;kd_VwdVonVgst5;kd_VwdBisVgst5;kd_BewertungsrelationTagVgst5;kd_GeschlechtM;kd_GeschlechtW;kd_AlterMw;kd_AlterStd;kd_AlterU28T;kd_AlterU01;kd_AlterU03;kd_AlterU06;kd_AlterU10;kd_AlterU16;kd_AlterU18;kd_AlterU30;kd_AlterU40;kd_AlterU50;kd_AlterU55;kd_AlterU60;kd_AlterU65;kd_AlterU75;kd_AlterU80;kd_AlterU99;kd_TageskostenMw;kd_TageskostenStd;kd_TageskostenHK
PA02C;12361;0;6315;6046;;;0;0,5109;0,4891;;;0;63054;137480;0;;200534;16,2231;10,3787;0,6098;1;5;1,4806;6;13;0,8439;14;;0,7813;;;;;;;0,7342;0,2658;44,5336;12,1083;0;0;0;0;0;0,0001;0,0023;0,1296;0,1908;0,3141;0,1618;0,1075;0,0528;0,0349;0,0047;0,0014;230,8265;50,19;0,8214
PA02D;21600;9405;6306;5889;;;0,4354;0,2919;0,2726;;;21464;55307;163737;0;;240507;11,1346;14,3293;0,4373;1;5;1,4806;6;13;0,8439;14;;0,7466;;;;;;;0,7044;0,2956;43,2631;13,1417;0;0;0;0;0;0,0001;0,0018;0,1796;0,1975;0,286;0,1416;0,0944;0,0494;0,0398;0,0063;0,0035;238,8186;154,9657;0,6065
PA03A;4719;1519;1661;1539;;;0,3219;0,352;0,3261;;;14783;50897;117081;0;;182761;38,7288;34,838;0,5264;1;19;1,1354;20;42;0,9509;43;;0,9433;;;;;;;0,4139;0,5861;56,0536;17,6812;0;0;0;0;0;0;0,0002;0,0907;0,1187;0,1632;0,0809;0,0631;0,0506;0,2863;0,0831;0,0631;236,1104;96,1679;0,7105
PA03B;16074;5611;5262;5201;;;0,3491;0,3274;0,3236;;;40151;142369;358526;0;;541046;33,6597;31,591;0,5159;1;16;1,0682;17;39;0,864;40;;0,8516;;;;;;;0,5541;0,4459;40,9622;11,9297;0;0;0;0;0;0,0001;0,0004;0,2129;0,2377;0,2756;0,1249;0,0878;0,0607;0;0;0;215,9261;98,8661;0,6859
PA04A;2410;885;766;759;;;0,3672;0,3178;0,3149;;;7450;20455;52975;0;;80880;33,5602;32,4703;0,5083;1;16;1,22;17;38;1,0084;39;;0,9643;;;;;;;0,422;0,578;58,3697;20,7065;0;0;0;0;0;0,0004;0,0041;0,1158;0,0967;0,1295;0,0672;0,0635;0,0693;0,2091;0,0855;0,1589;248,6127;102,7137;0,7076
PA04B;10147;3316;3311;3520;;;0,3268;0,3263;0,3469;;;28759;95777;228352;0;;352888;34,7776;28,4479;0,5501;1;19;1,0897;20;39;0,8676;40;;0,8612;;;;;;;0,3298;0,6702;65,7044;16,4681;0;0;0;0;0;0,0001;0;0,0542;0,0493;0,0748;0,0398;0,0338;0,0212;0,4018;0,1645;0,1605;222,9647;97,3566;0,696
PA04C;32278;12838;9300;10140;;;0,3977;0,2881;0,3141;;;76995;254728;653329;0;;985054;30,5178;28,5692;0,5165;1;16;1,0642;17;39;0,787;40;;0,7707;;;;;;;0,4377;0,5621;40,6132;13,0733;0;0;0;0;0;0,0005;0,0017;0,2555;0,178;0,2696;0,1284;0,0967;0,0696;0;0;0;205,8835;107,3329;0,6573
PA14A;893;263;357;273;;;0,2945;0,3998;0,3057;;;1132;7004;17826;0;;25962;29,0728;29,1856;0,499;1;9;1,342;10;34;1,0228;35;;0,9824;;;;;;;0,2732;0,7268;37,0426;15,4551;0;0;0;0;0;0,0011;0,0056;0,3931;0,2307;0,187;0,0538;0,019;0,0314;0,0515;0,0168;0,0101;251,3173;114,6453;0,6867
PA14B;4647;1826;1378;1443;;;0,3929;0,2965;0,3105;;;6481;24752;85597;0;;116830;25,141;27,9735;0,4733;1;9;1,2463;10;29;0,8854;30;;0,85;;;;;;;0,3221;0,6779;30,3553;10,6868;0;0;0;0;0;0,0019;0,0065;0,5647;0,2135;0,1532;0,0334;0,0157;0,0112;0;0;0;223,1632;125,4941;0,64
PA15A;3926;931;966;984;1045;;0,2371;0,2461;0,2506;0,2662;;5370;14983;25500;51797;;97650;24,8726;19,8098;0,5567;1;10;1,6017;11;20;1,1569;21;32;1,1142;33;;1,0837;;;;0,4903;0,5097;77,4794;11,776;0;0;0;0;0;0;0;0,0064;0,0094;0,0217;0,0176;0,0209;0,0316;0,202;0,1885;0,502;299,2719;119,1628;0,7152
PA15B;6779;1817;1376;1654;1932;;0,268;0,203;0,244;0,285;;8765;19921;38595;84193;;151474;22,3446;17,4678;0,5612;1;10;1,524;11;18;0,9694;19;28;0,9236;29;;0,9125;;;;0,4119;0,5881;79,5063;10,0679;0;0;0;0;0;0;0;0,0007;0,0027;0,0114;0,0152;0,0215;0,031;0,1634;0,1766;0,5775;269,897;152,4067;0,6391
PA15C;2843;862;597;672;712;;0,3032;0,21;0,2364;0,2504;;3190;9160;17364;34743;;64457;22,6722;19,5837;0,5365;1;10;1,504;11;20;0,9117;21;32;0,8667;33;;0,8447;;;;0,4836;0,5164;71,2659;12,0181;0;0;0;0;0;0;0,0004;0,012;0,0162;0,0482;0,0302;0,0331;0,0369;0,3225;0,2515;0,249;253,8912;253,9888;0,4999
PF01Z;8;;;;;;;;;;;259;0;0;0;;259;32,375;22,2771;0,5924;;;;;;;;;;;;;;;;0,75;0,25;78,75;11,2091;0;0;0;0;0;0;0;0;0;0;0,125;0;0;0,125;0,125;0,625;;;
PF02Z;0;;;;;;;;;;;0;0;0;0;;0;0;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;
PF96Z;0;;;;;;;;;;;0;0;0;0;;0;0;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;
PK01Z;280;107;80;93;;;0,3821;0,2857;0,3321;;;934;3046;8862;0;;12842;45,8643;42,8721;0,5169;1;21;2,028;22;56;1,3879;57;;1,3396;;;;;;;0,7786;0,2214;12,6929;3,2293;0;0;0;0,0107;0,1607;0,6214;0,1893;0,0179;0;0;0;0;0;0;0;0;373,776;195,0416;0,6571
PK02Z;283;146;62;75;;;0,5159;0,2191;0,265;;;561;1132;3523;0;;5216;18,4311;21,7472;0,4587;1;12;2,2385;13;25;1,3841;26;;1,227;;;;;;;0,6784;0,3216;16,3216;1,4114;0;0;0;0;0;0,2367;0,6678;0,0954;0;0;0;0;0;0;0;0;385,6385;214,2313;0,6428
PK03Z;196;62;69;65;;;0,3163;0,352;0,3316;;;502;2854;7225;0;;10581;53,9847;50,6173;0,5161;1;21;1,9489;22;65;1,5058;66;;1,3818;;;;;;;0,6224;0,3776;16,1276;1,7914;0;0;0;0;0,0051;0,2959;0,5969;0,102;0;0;0;0;0;0;0;0;369,9623;159,983;0,6981
PK04A;252;81;84;87;;;0,3214;0,3333;0,3452;;;603;3118;9897;0;;13618;54,0397;56,3556;0,4895;1;18;1,9918;19;58;1,59;59;;1,5801;;;;;;;0,2817;0,7183;14,9127;2,3869;0;0;0;0,004;0,0317;0,4563;0,4722;0,0357;0;0;0;0;0;0;0;0;392,9674;152,584;0,7203
