IO_DRG;IO_BereichNr;IO_KArt1;IO_KArt2;IO_KArt3;IO_KArt4a;IO_KArt4b;IO_KArt5;IO_KArt6a;IO_KArt6b;IO_KArt6c;IO_KArt7;IO_KArt8;IO_Summe
802C;5;116,18;0,00;77,73;6,35;0,06;0,00;22,94;0,26;0,55;15,15;33,09;272,31
802C;6;0,75;0,00;0,91;0,11;0,00;0,00;0,26;0,00;0,00;0,24;0,68;2,95
802C;7;5,43;0,00;7,32;0,40;0,12;2,39;2,04;5,23;4,49;2,59;3,68;33,69
802C;8;18,53;0,00;20,20;0,64;0,06;1,46;8,49;10,39;0,00;9,66;12,93;82,36
802C;9;47,41;0,00;47,14;0,78;1,21;2,83;9,96;8,83;18,61;20,59;31,33;188,69
802C;10;17,68;0,00;51,92;1,57;16,55;0,00;42,38;1,18;30,74;8,27;24,43;194,72
802C;11;38,17;0,50;25,41;0,74;0,00;0,00;4,90;0,44;1,72;5,80;16,65;94,33
802C;12;4,46;0,60;28,15;0,26;0,00;0,00;1,18;0,00;4,84;1,55;10,03;51,07
802C;13;33,91;7,35;29,40;1,19;0,06;0,00;5,18;0,03;0,50;7,71;21,20;106,53
802D;1;285,44;406,35;21,54;35,18;10,53;0,00;36,66;0,21;7,71;136,57;409,52;1349,71
802D;2;29,06;45,95;0,46;3,14;0,22;0,00;5,59;0,00;0,00;10,13;21,08;115,63
802D;4;114,19;0,00;117,14;4,84;0,70;11,70;48,68;12,74;10,77;61,33;80,28;462,37
802D;5;101,74;0,00;74,18;7,02;0,09;0,00;23,03;0,13;0,13;14,34;36,20;256,86
802D;6;3,26;0,00;7,33;0,89;0,00;0,00;1,99;0,00;0,00;2,52;5,37;21,36
802D;7;1,90;0,00;1,58;0,09;0,00;0,00;0,47;1,86;1,96;0,77;1,22;9,85
802D;8;5,10;0,00;6,33;0,22;0,01;0,32;3,04;1,56;0,00;3,17;4,81;24,56
802D;9;36,60;0,00;34,89;0,43;0,01;0,00;7,50;2,11;7,93;16,57;22,33;128,37
802D;10;10,39;0,00;29,32;0,85;10,31;0,00;25,39;0,39;31,16;5,66;15,27;128,74
802D;11;21,46;0,32;21,41;0,62;0,00;0,00;2,33;0,04;0,72;3,50;12,11;62,51
802D;12;1,17;0,13;13,90;0,07;0,00;0,00;0,74;0,00;3,61;0,78;4,08;24,48
802D;13;30,52;6,18;21,93;0,81;0,04;0,00;3,43;0,05;0,07;7,01;17,67;87,71
863Z;1;366,55;675,59;19,97;18,20;1,81;0,00;61,42;0,00;5,25;121,02;295,95;1565,76
863Z;2;411,89;580,92;2,59;50,84;0,00;0,00;109,42;0,00;0,00;59,64;266,54;1481,84
863Z;4;53,05;0,00;43,70;0,72;0,00;0,58;40,28;0,00;88,01;27,29;26,38;280,01
863Z;5;54,01;0,00;29,52;2,23;0,00;0,00;8,55;0,00;16,72;8,74;19,96;139,73
863Z;8;1,17;0,00;1,89;0,08;0,00;0,00;0,68;0,45;0,00;0,86;0,89;6,02
863Z;9;1,73;0,00;2,31;0,05;0,00;0,00;0,39;0,00;0,00;0,87;1,77;7,12
863Z;10;6,90;0,00;21,72;0,04;0,00;0,00;18,15;0,00;44,41;0,78;9,08;101,08
863Z;11;4,67;0,00;4,18;0,01;0,00;0,00;0,25;0,00;0,00;0,77;1,78;11,66
863Z;13;9,64;0,25;12,17;0,10;0,00;0,00;0,81;0,00;0,00;0,44;2,91;26,32
A01A;1;2148,47;2666,90;93,09;433,49;516,52;0,00;230,13;65,60;73,76;660,73;1499,16;8387,85
A01A;2;9999,07;18281,47;212,31;2192,04;2005,43;0,00;3072,17;758,88;29,48;2339,97;5631,41;44522,23
A01A;4;3412,11;0,00;2593,20;59,97;145,16;92,67;847,04;1058,65;4,16;767,45;1815,66;10796,07
A01A;5;1810,21;0,00;1207,53;136,76;220,31;0,00;439,00;7,37;0,82;258,99;560,70;4641,69
A01A;7;0,52;0,00;1,06;0,03;0,00;0,00;0,30;0,00;0,00;0,36;0,59;2,86
A01A;8;156,43;0,00;169,78;3,91;0,46;16,18;44,93;102,17;0,00;92,96;98,18;685,00
A01A;9;411,53;0,00;394,81;7,24;7,02;85,21;60,04;138,17;0,00;219,35;251,46;1574,83
A01A;10;531,56;0,00;1578,67;4,06;3020,85;0,00;1440,17;0,00;1768,25;292,57;724,70;9360,83
A01A;11;1297,08;1,37;255,03;2,74;0,00;0,00;28,95;0,00;0,00;114,23;231,60;1931,00
A01A;12;68,87;0,00;602,77;1,78;0,00;0,00;9,51;0,00;358,79;47,26;136,89;1225,87
A01A;13;47,99;7,19;24,83;0,94;0,62;0,00;2,35;0,11;0,00;14,75;24,22;123,00
A01B;1;2978,77;3748,64;116,78;706,64;691,07;0,00;354,54;78,13;42,47;921,10;2296,88;11935,02
A01B;2;3046,35;5719,29;109,52;611,45;905,59;0,00;940,02;205,56;7,73;871,14;2087,16;14503,81
A01B;4;2189,40;0,00;1591,17;29,37;94,74;105,28;504,33;660,29;0,86;550,93;1512,48;7238,85
A01B;5;1028,38;0,00;653,58;72,19;134,86;0,00;216,52;23,17;0,20;131,31;299,60;2559,81
A01B;7;5,91;0,00;8,00;0,39;0,00;1,02;4,84;12,50;0,00;4,11;5,36;42,13
A01B;8;89,08;0,00;104,51;2,76;0,13;5,33;24,56;54,56;0,00;58,59;66,76;406,28
A01B;9;155,63;0,00;156,73;3,68;3,09;9,26;20,18;51,99;0,02;87,05;102,19;589,82
A01B;10;313,74;0,00;895,63;1,36;1341,81;0,00;773,30;0,00;917,10;186,49;412,11;4841,54
A01B;11;1327,87;2,45;570,36;5,56;0,01;0,00;22,71;3,26;0,08;90,33;252,43;2275,06
A01B;12;32,91;0,00;367,52;1,93;0,00;0,00;3,97;0,00;95,47;26,42;77,47;605,69
A01B;13;49,05;8,02;31,53;0,73;0,28;0,00;4,54;0,02;0,00;12,89;25,70;132,76
A01C;1;1461,19;2008,12;156,97;441,84;379,47;0,00;233,07;18,04;2,12;582,05;1391,56;6674,43
A01C;2;2118,85;4240,66;108,31;386,40;1185,28;0,00;727,36;52,37;2,82;638,20;1594,13;11054,38
A01C;4;1928,48;0,00;1343,05;35,53;152,84;26,71;556,46;599,56;1,07;539,75;1286,77;6470,22
A01C;5;865,48;0,00;550,02;58,23;191,85;0,00;200,51;3,93;0,20;133,64;214,89;2218,75
A01C;7;4,11;0,00;4,40;0,31;0,00;0,00;3,36;6,39;0,00;2,59;3,77;24,93
A01C;8;68,46;0,00;65,10;1,81;0,09;4,52;15,90;33,86;0,00;36,48;48,14;274,36
A01C;9;119,41;0,00;98,04;3,59;1,87;19,06;21,15;58,77;0,11;73,16;72,21;467,37
A01C;10;294,32;0,00;787,79;2,03;1270,45;0,00;696,84;9,90;289,70;163,65;346,29;3860,97
A01C;11;859,49;0,58;407,34;3,77;0,00;0,00;15,47;3,25;0,00;70,80;175,08;1535,78
A01C;12;32,08;0,00;307,15;0,72;0,00;0,00;2,53;0,00;52,40;25,25;72,65;492,78
A01C;13;44,32;4,86;26,54;3,93;0,09;0,00;6,87;0,00;0,00;11,45;21,98;120,04
A02Z;1;1023,83;1651,87;147,49;381,49;293,48;0,00;204,14;1,71;990,15;528,72;988,77;6211,65
A02Z;2;2057,69;4387,97;479,26;464,96;660,44;0,00;662,65;12,99;5,84;1226,76;1794,80;11753,36
A02Z;4;1736,75;0,00;1129,65;31,48;255,03;3,75;426,83;671,19;0,78;495,37;1440,91;6191,74
A02Z;5;825,89;0,00;490,22;53,22;38,44;0,00;174,46;0,52;0,13;116,47;177,07;1876,42
A02Z;7;6,15;0,00;4,38;0,23;0,00;19,34;0,77;12,25;0,09;2,28;4,34;49,83
A02Z;8;16,09;0,00;10,74;0,34;0,00;0,00;2,70;2,90;0,00;7,88;7,96;48,61
A02Z;9;134,13;0,00;93,96;0,82;0,00;0,00;11,73;6,72;0,00;59,21;64,23;370,80
A02Z;10;250,84;0,00;608,75;2,00;381,61;0,00;492,95;0,00;90,56;136,67;239,98;2203,36
A02Z;11;981,48;0,20;221,70;0,57;0,00;0,00;11,33;2,01;0,00;51,25;137,31;1405,85
A02Z;12;49,51;0,24;225,75;0,36;0,00;0,00;3,07;0,00;19,93;19,05;51,66;369,57
A02Z;13;35,95;0,51;19,06;3,65;0,00;0,00;4,02;0,00;0,00;3,34;8,89;75,42
A03A;1;1117,10;2308,04;135,61;284,42;517,15;0,00;277,13;7,70;8,97;499,91;1423,72;6579,75
A03A;2;8764,30;15028,24;570,36;1525,35;1587,53;0,00;3777,35;81,28;42,11;3534,82;6779,30;41690,64
A03A;4;3203,57;0,00;1951,35;41,41;868,34;221,75;728,47;4297,84;772,16;921,67;2610,05;15616,61
A03A;5;1652,95;0,00;771,07;64,40;105,26;0,00;355,62;58,80;0,00;165,84;322,00;3495,94
A03A;7;21,38;0,00;9,26;0,35;0,00;0,00;3,87;4,01;0,00;12,19;16,97;68,03
A03A;8;309,93;0,00;187,05;7,35;0,00;0,00;127,38;0,14;32,50;418,37;249,85;1332,57
A03A;9;286,30;0,00;464,15;2,89;0,02;0,00;45,97;3,28;63,02;155,12;263,61;1284,36
A03A;10;447,31;0,00;2233,59;3,56;784,14;0,00;1846,02;0,00;509,01;363,31;780,38;6967,32
A03A;11;2772,25;0,38;597,86;2,95;0,00;0,00;18,01;0,00;90,79;114,25;327,21;3923,70
A03A;12;278,65;1,42;1735,56;1,39;0,00;0,00;16,04;0,00;29,99;107,49;325,80;2496,34
A03A;13;245,08;33,68;199,55;1,74;0,00;0,00;16,12;0,00;0,00;62,84;159,70;718,71
A03B;1;1132,03;1511,08;26,48;227,16;300,85;0,00;168,89;0,00;2,78;482,85;1552,60;5404,72
A03B;2;3252,19;5019,70;320,24;927,25;560,23;0,00;1021,27;0,71;7,43;742,74;2054,93;13906,69
A03B;4;2552,78;0,00;1040,76;30,18;402,90;484,65;502,67;1338,27;73,61;615,07;3514,61;10555,50
A03B;5;859,65;0,00;486,57;72,14;0,08;0,00;158,56;0,00;0,00;90,12;190,02;1857,14
A03B;7;2,95;0,00;2,50;0,15;0,00;0,00;0,66;2,19;0,00;1,82;2,09;12,36
A03B;8;346,17;0,00;106,57;13,41;0,00;0,00;210,83;0,13;0,00;315,67;305,57;1298,35
A03B;9;194,86;0,00;168,53;2,37;8,92;0,00;31,43;2,63;0,00;100,45;145,83;655,02
A03B;10;628,08;0,00;1742,42;1,19;677,10;0,00;1287,64;0,00;8,73;310,81;572,58;5228,55
A03B;11;3521,21;0,00;574,63;0,73;0,00;0,00;11,32;0,01;0,58;106,13;344,92;4559,53
A03B;12;56,59;0,00;398,08;2,11;0,00;0,00;3,54;0,00;0,00;25,67;86,15;572,14
A03B;13;70,50;1,96;39,08;0,09;0,00;0,00;5,37;0,00;0,00;4,79;20,19;141,98
A04B;1;189,63;32,22;11,98;21,21;325,73;0,00;2,45;10,33;3,89;43,54;120,82;761,80
A04B;2;12015,56;20709,60;2734,32;5907,13;1916,73;0,00;2758,50;204,88;178,44;4312,72;9609,24;60347,12
A04B;4;24,87;0,00;22,78;0,46;0,00;0,00;11,82;0,00;0,00;10,90;18,66;89,49
A04B;5;23,75;0,00;16,86;1,57;0,00;0,00;4,73;0,00;0,00;2,27;8,57;57,75
A04B;9;158,88;0,00;246,99;0,16;0,00;0,00;10,22;0,32;0,00;95,40;167,29;679,26
A04B;10;325,28;0,00;1341,37;4,36;383,51;16324,74;1137,55;77,77;1332,56;310,48;1111,91;22349,53
A04B;11;81,43;0,03;35,09;2,12;0,00;0,00;5,25;0,00;0,00;8,95;21,88;154,75
A04B;12;0,00;0,00;617,40;0,00;0,00;0,00;1,36;0,00;104,35;12,35;114,81;850,27
A04B;13;21,31;1,58;12,57;0,00;0,00;0,00;0,00;0,00;0,00;4,20;6,56;46,22
A04C;1;1125,77;1732,31;481,76;659,17;210,36;0,00;319,73;356,13;28,10;543,09;1019,19;6475,61
A04C;2;14217,38;20166,12;2762,51;4277,70;3330,57;0,00;2598,93;293,10;81,26;4329,78;11486,00;63543,35
A04C;4;91,53;0,00;113,05;2,53;0,24;4,18;39,82;18,56;0,02;45,64;79,69;395,26
A04C;5;96,69;0,00;67,33;8,42;0,07;0,00;20,99;0,00;0,01;10,05;37,30;240,86
A04C;8;5,06;0,00;6,14;0,21;0,02;0,00;5,02;0,08;0,00;3,44;4,06;24,03
A04C;9;200,12;0,00;407,50;2,11;0,78;0,00;28,43;2,04;22,23;264,20;213,89;1141,30
A04C;10;632,97;0,00;1696,70;3,50;745,38;4151,43;1475,31;0,58;1750,84;445,72;796,54;11698,97
A04C;11;131,51;0,31;109,22;0,35;0,00;0,00;3,37;0,00;0,01;17,92;53,60;316,29
A04C;12;35,17;0,18;678,95;0,18;0,00;0,00;1,74;0,00;201,81;28,87;183,48;1130,38
A04C;13;21,95;3,26;10,94;0,12;0,00;0,00;1,27;0,00;0,00;8,39;11,20;57,13
A04D;1;477,97;1304,82;48,39;563,59;239,35;0,00;233,64;133,63;4,57;317,62;787,81;4111,39
A04D;2;6828,59;10803,20;1101,75;3317,88;3404,84;0,00;1410,11;195,59;152,87;2686,52;6645,05;36546,40
A04D;4;6,92;0,00;6,44;0,23;0,01;0,12;3,55;1,81;0,00;4,22;5,98;29,28
A04D;5;5,21;0,00;3,16;0,38;0,00;0,00;1,24;0,00;0,00;0,55;1,58;12,12
A04D;7;0,65;0,00;1,22;0,04;0,00;0,00;0,43;0,30;0,00;0,45;0,64;3,73
A04D;8;17,13;0,00;19,40;0,36;0,32;0,00;4,89;2,87;0,00;9,84;14,86;69,67
A04D;9;250,62;0,00;461,37;3,83;1,31;0,63;48,12;38,61;43,96;256,09;229,21;1333,75
A04D;10;444,41;0,00;1184,64;15,02;639,76;2308,45;983,01;59,00;993,00;325,24;555,37;7507,90
A04D;11;69,97;0,60;72,11;4,56;0,01;0,00;11,11;0,63;13,64;16,80;36,53;225,96
A04D;12;52,75;0,24;312,98;0,16;0,01;0,00;1,84;0,00;53,71;21,36;79,77;522,82
A04D;13;19,27;2,82;14,76;0,25;0,00;0,00;3,71;0,00;0,00;5,05;15,72;61,58
A04E;1;381,36;1350,31;52,25;634,81;269,91;0,00;256,55;130,94;3,21;303,89;694,45;4077,68
A04E;2;6003,81;9618,82;994,83;3001,18;3756,48;0,00;1228,76;112,67;32,42;2406,74;5908,95;33064,66
A04E;4;4,00;0,00;4,97;0,15;0,03;1,45;2,60;0,49;0,00;2,62;4,65;20,96
A04E;5;7,02;0,00;2,60;0,27;0,00;0,00;1,01;0,00;0,00;0,59;1,13;12,62
A04E;7;0,75;0,00;1,35;0,03;0,00;0,00;0,34;0,28;0,00;0,50;0,84;4,09
A04E;8;7,82;0,00;6,20;0,17;0,06;0,00;2,14;1,72;0,00;3,90;5,12;27,13
A04E;9;207,63;0,00;333,87;2,74;24,94;1,12;34,26;9,17;85,77;203,07;161,50;1064,07
A04E;10;444,32;0,00;1139,95;12,04;717,02;2097,47;917,97;41,12;785,02;280,15;535,83;6970,89
A04E;11;71,43;0,77;61,84;2,66;8,77;0,00;8,23;0,00;14,29;15,45;31,32;214,76
A04E;12;48,91;0,32;316,44;0,21;17,83;0,00;1,91;0,10;50,22;20,62;80,94;537,50
A04E;13;18,45;1,90;13,53;0,37;11,98;0,00;2,94;0,00;0,00;5,17;13,48;67,82
A05A;1;510,34;911,77;41,25;80,32;0,00;0,00;86,71;0,00;0,00;2398,81;809,24;4838,44
A05A;2;12362,57;21482,40;609,37;2082,98;1099,72;0,00;5368,32;7,01;223,14;6322,45;10626,68;60184,64
A05A;4;5067,30;0,00;3594,66;46,69;589,36;170,47;1560,45;2965,54;147,00;1517,62;2979,51;18638,60
A05A;5;2222,20;0,00;1044,12;58,32;1153,72;0,00;632,67;206,56;0,00;205,38;508,66;6031,63
A05A;7;218,64;0,00;176,39;10,55;0,00;0,00;46,95;696,01;0,00;99,74;132,43;1380,71
A05A;8;4,33;0,00;4,67;0,18;0,00;0,00;1,65;0,25;58,51;4,03;5,30;78,92
A05A;9;194,62;0,00;715,19;3,21;0,00;0,00;34,67;6,49;26,12;134,26;325,55;1440,11
A05A;10;163,43;0,00;2886,35;14,90;1304,24;0,00;2748,93;0,00;1789,02;259,28;1026,99;10193,14
A05A;11;1037,04;0,00;272,12;0,40;0,00;0,00;3,42;0,00;4,93;88,28;169,38;1575,57
A05A;12;19,64;0,00;1909,76;0,10;0,00;0,00;15,58;0,00;34,91;93,32;339,74;2413,05
A05A;13;86,85;8,61;66,79;0,61;0,00;0,00;4,96;0,00;0,00;22,89;52,80;243,51
A05B;1;1244,28;2316,37;33,30;210,18;368,52;0,00;231,89;0,00;11,87;631,42;1528,19;6576,02
A05B;2;6774,10;11132,56;233,21;1188,69;1991,77;0,00;2243,95;20,85;5,78;2592,38;5026,53;31209,82
A05B;4;3216,09;0,00;2731,04;86,25;519,48;153,91;1313,40;1531,12;270,85;1037,86;2969,90;13829,90
A05B;5;1743,50;0,00;910,85;83,39;469,94;0,00;445,91;104,14;0,22;181,68;384,94;4324,57
A05B;7;222,29;0,00;181,04;10,05;0,00;0,00;49,97;603,12;0,49;121,84;157,16;1345,96
A05B;8;34,50;0,00;12,63;0,59;0,00;0,00;13,41;0,00;11,79;75,81;22,74;171,47
A05B;9;166,08;0,00;318,79;5,07;0,00;0,00;21,56;10,99;55,49;98,64;181,35;857,97
A05B;10;345,48;0,00;1673,66;3,16;983,76;0,00;1490,40;0,00;694,51;249,40;626,82;6067,19
A05B;11;1952,78;0,14;384,82;0,49;0,00;0,00;4,54;0,28;24,02;97,79;245,04;2709,90
A05B;12;41,58;0,00;973,81;0,30;0,00;0,00;7,06;0,00;42,22;52,72;182,22;1299,91
A05B;13;82,09;0,49;46,89;0,44;0,00;0,00;4,20;0,00;0,00;27,30;33,06;194,47
A06A;1;770,05;1037,02;70,35;124,42;104,46;0,00;92,35;32,64;0,35;326,55;745,99;3304,18
A06A;2;34749,55;70577,64;1149,24;9017,69;4971,26;1,61;15796,85;1082,73;407,52;9892,90;26113,46;173760,45
A06A;4;2032,70;0,00;1703,01;88,84;647,32;1242,27;864,10;1837,66;489,95;787,44;1186,12;10879,41
A06A;5;1357,53;0,00;886,70;106,40;49,67;0,00;343,98;10,88;36,66;186,21;456,42;3434,45
A06A;6;2,56;0,00;5,90;0,36;0,00;0,00;0,54;0,00;0,00;0,37;1,78;11,51
A06A;7;159,16;0,00;148,38;5,69;0,58;421,16;100,07;135,38;979,31;81,93;124,24;2155,90
A06A;8;360,40;0,00;424,17;10,54;7,08;2,00;138,49;165,09;0,00;279,56;284,79;1672,12
A06A;9;787,40;0,00;871,67;10,07;8,34;11,85;125,22;138,43;60,59;387,18;555,29;2956,04
