ko_Pepp;ko_BereichNr;ko_KArt1;ko_KArt2;ko_KArt3a;ko_KArt3b;ko_KArt3c;ko_KArt3;ko_KArt4a;ko_KArt4b;ko_KArt5;ko_KArt6a;ko_KArt6b;ko_KArt7;ko_KArt8
PA01B;9;0,37;0,00;0,00;0,00;0,00;0,45;0,01;0,00;0,00;0,14;0,46;0,23;0,27
PA01B;10;0,08;0,00;0,00;0,00;0,00;0,60;0,00;0,00;0,00;0,74;0,74;0,06;0,26
PA01B;11;0,68;0,55;0,00;0,00;0,00;0,78;0,01;0,00;0,00;0,11;0,09;0,13;0,49
PA02A;21;15,15;55,42;2,52;3,65;2,06;0,92;1,33;0,11;0,00;1,30;0,17;8,31;39,75
PA02A;22;11,64;43,60;2,00;3,28;1,34;0,36;1,00;0,26;0,00;0,81;0,20;6,58;31,18
PA02A;23;3,84;8,89;1,38;1,53;0,32;0,00;0,06;0,05;0,00;0,04;0,01;0,00;0,00
PA02A;24;0,00;0,01;0,00;0,00;0,33;0,01;0,00;0,00;0,00;0,00;0,04;0,01;0,18
PA02A;25;0,00;0,30;0,00;0,02;2,64;0,00;0,00;0,00;0,00;0,04;0,02;0,16;1,19
PA02A;26;0,00;0,03;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
PA02A;4;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,01
PA02A;5;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00
PA02A;8;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,01
PA02A;9;0,08;0,00;0,00;0,00;0,00;0,13;0,00;0,00;0,00;0,05;0,16;0,05;0,08
PA02A;10;0,16;0,00;0,00;0,00;0,00;1,50;0,03;0,00;0,00;1,71;2,77;0,20;0,77
