kd_Pepp;kd_FaelleAnzahl;kd_SummePflegetage;kd_PflegetageMw;kd_PflegetageStd;kd_PflegetageHK;kd_GeschlechtM;kd_GeschlechtW;kd_AlterMw;kd_AlterStd;kd_AlterU28T;kd_AlterU01;kd_AlterU03;kd_AlterU06;kd_AlterU10;kd_AlterU16;kd_AlterU18;kd_AlterU30;kd_AlterU40;kd_AlterU50;kd_AlterU55;kd_AlterU60;kd_AlterU65;kd_AlterU75;kd_AlterU80;kd_AlterU99;kd_TageskostenMw;kd_TageskostenStd;kd_TageskostenHK;kd_Degressionsendpunkt
PA03A;8450;320850;37,9704;34,5541;0,5236;0,4163;0,5837;55,0057;16,9633;0,00;0,00;0,00;0,00;0,00;0,00;0,0006;0,0872;0,1277;0,1596;0,1025;0,083;0,0735;0,2348;0,0809;0,0502;249,16;68,33;0,7848;14
PA03B;24134;793411;32,8752;32,7952;0,5006;0,5905;0,4095;40,4406;12,0365;0,00;0,00;0,00;0,00;0,00;0,00;0,0005;0,2218;0,2667;0,2383;0,1242;0,0894;0,0592;0,00;0,00;0,00;224,15;61,62;0,7844;17
PA04A;4756;168663;35,4632;32,7775;0,5197;0,4087;0,5913;66,8747;20,2164;0,00;0,00;0,00;0,00;0,00;0,00;0,0004;0,0728;0,0553;0,0805;0,0561;0,0534;0,0601;0,1661;0,1133;0,3419;255,65;70,17;0,7846;16
PA04B;15622;542513;34,7275;29,4912;0,5408;0,3668;0,6332;61,8028;17,8053;0,00;0,00;0,00;0,00;0,00;0,00;0,0003;0,0823;0,0755;0,0897;0,0516;0,0427;0,0329;0,3383;0,1847;0,102;233,83;64,71;0,7832;21
PA04C;49391;1513306;30,6393;28,7071;0,5163;0,4584;0,5416;40,3597;13,3785;0,00;0,00;0,00;0,00;0,00;0,0003;0,0024;0,2736;0,1825;0,2317;0,1378;0,1026;0,0691;0,00;0,00;0,00;211,95;61,03;0,7764;20
PA14A;1905;53466;28,0661;31,7388;0,4693;0,3024;0,6976;35,2278;14,4642;0,00;0,00;0,00;0,00;0,00;0,00;0,0021;0,4357;0,2462;0,1475;0,0551;0,0409;0,0294;0,0247;0,0084;0,01;255,29;75,33;0,7722;8
PA14B;6733;181714;26,9886;28,7943;0,4838;0,3199;0,6801;29,963;10,4096;0,00;0,00;0,00;0,00;0,00;0,0004;0,0027;0,5853;0,2204;0,1277;0,0371;0,0186;0,0077;0,00;0,00;0,00;225,55;61,40;0,786;20
PA15A;3837;101976;26,577;19,9655;0,571;0,5231;0,4769;76,5564;11,7648;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0026;0,0081;0,0195;0,0253;0,0352;0,0519;0,2082;0,1783;0,4709;293,58;76,93;0,7924;18
PA15B;12478;292702;23,4574;16,9827;0,5801;0,438;0,562;80,4822;9,3175;0,00;0,00;0,00;0,00;0,00;0,00;0,0001;0,0027;0,0022;0,0063;0,0071;0,0115;0,02;0,1443;0,2051;0,6007;282,81;70,93;0,7995;13
PA15C;3732;95978;25,7176;21,0355;0,5501;0,5252;0,4748;70,4014;12,2497;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0113;0,0185;0,0402;0,0461;0,0539;0,0552;0,2838;0,2642;0,227;259,01;69,65;0,7881;18
PK01Z;434;17590;40,53;36,8072;0,5241;0,7995;0,2005;12,4608;3,5353;0,00;0,00;0,00;0,0253;0,212;0,53;0,2097;0,023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;391,50;115,58;0,7721;11
PK02Z;748;14598;19,516;19,5431;0,4997;0,6618;0,3382;16,131;1,1201;0,00;0,00;0,00;0,00;0,00;0,2473;0,7072;0,0455;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;404,81;98,72;0,8039;14
PK03Z;335;15260;45,5522;45,7256;0,4991;0,5075;0,4925;16,2299;1,4573;0,00;0,00;0,00;0,00;0,00;0,2537;0,6597;0,0866;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;393,43;103,49;0,7917;18
PK04A;1236;57306;46,3641;51,3347;0,4746;0,3924;0,6076;14,3584;2,7893;0,00;0,00;0,0016;0,0097;0,0672;0,4976;0,3997;0,0243;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;386,33;105,34;0,7858;17
PK04B;7891;247742;31,3955;34,96;0,4731;0,3188;0,6812;14,615;2,5178;0,00;0,0001;0,0034;0,007;0,0356;0,5323;0,3946;0,027;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;360,02;105,34;0,7736;20
PK10Z;815;55996;68,7067;54,4985;0,5577;0,092;0,908;13,9067;3,7995;0,00;0,0135;0,0368;0,0184;0,0098;0,562;0,3325;0,027;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;384,28;108,49;0,7798;1
PK14A;796;41099;51,6319;40,4277;0,5609;0,7023;0,2977;9,4636;4,026;0,00;0,00;0,0025;0,108;0,4874;0,2977;0,098;0,0063;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;403,25;94,85;0,8096;16
PK14B;2021;87450;43,2707;34,817;0,5541;0,6957;0,3043;10,8832;1,7201;0,00;0,00;0,00;0,00;0,2494;0,7506;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;379,66;88,46;0,811;20
PK14C;1991;46525;23,3677;29,5214;0,4418;0,4631;0,5369;15,4088;1,1681;0,00;0,00;0,00;0,00;0,00;0,5485;0,4319;0,0196;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;377,72;106,94;0,7794;21
PP04A;2048;86321;42,1489;26,1817;0,6168;0,3066;0,6934;54,3628;17,6558;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,1333;0,0889;0,1484;0,1084;0,0845;0,0366;0,2837;0,0825;0,0337;219,45;60,16;0,7848;17
PP04B;7828;313807;40,0878;21,708;0,6487;0,3328;0,6672;43,1035;12,8809;0,00;0,00;0,00;0,00;0,00;0,0004;0,0043;0,1995;0,1585;0,2476;0,1731;0,1387;0,0778;0,00;0,00;0,00;200,91;49,07;0,8037;13
PP10A;651;35348;54,298;35,6862;0,6034;0,0906;0,9094;28,5806;10,9347;0,00;0,00;0,00;0,00;0,00;0,0015;0,0031;0,6621;0,1705;0,0952;0,0353;0,0138;0,0092;0,0077;0,0015;0,00;250,66;75,64;0,7682;1
PP10B;287;13658;47,5889;23,7065;0,6675;0,0488;0,9512;29,7317;11,0694;0,00;0,00;0,00;0,00;0,00;0,00;0,0035;0,6411;0,1672;0,101;0,0383;0,0279;0,0209;0,00;0,00;0,00;212,39;47,07;0,8186;1
PP14Z;663;28792;43,4268;29,95;0,5918;0,3258;0,6742;34,0845;13,1244;0,00;0,00;0,00;0,00;0,00;0,003;0,009;0,4585;0,2036;0,1825;0,0724;0,0271;0,0226;0,0136;0,0045;0,003;230,33;42,80;0,8433;1
TA02Z;2056;26612;12,9436;10,0662;0,5625;0,6873;0,3127;42,1936;12,7298;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,1863;0,2378;0,2675;0,1386;0,0837;0,0501;0,0287;0,0054;0,0019;197,86;53,37;0,7876;1
TA15Z;516;11274;21,8488;14,855;0,5953;0,407;0,593;74,7384;9,3385;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0097;0,0019;0,0078;0,0155;0,0233;0,0368;0,2907;0,3178;0,2965;213,33;80,93;0,725;1
TA19Z;3407;103063;30,2504;19,5589;0,6073;0,297;0,703;65,204;16,9596;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,069;0,0522;0,0655;0,037;0,0252;0,0226;0,3866;0,199;0,1429;190,74;48,18;0,7983;1
TA20Z;22428;667456;29,7599;19,2009;0,6078;0,4142;0,5858;40,2327;12,5923;0,00;0,00;0,00;0,00;0,00;0,00;0,0007;0,2543;0,2147;0,2407;0,1388;0,101;0,0498;0,00;0,00;0,00;174,70;47,93;0,7847;1
TK04Z;2245;94176;41,9492;28,6553;0,5941;0,4584;0,5416;13,1212;3,1128;0,00;0,00;0,0009;0,0085;0,1448;0,5755;0,2552;0,0151;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;285,30;63,84;0,8172;1
TK14Z;2404;107532;44,7304;27,9239;0,6157;0,6972;0,3028;10,7221;3,3118;0,00;0,00;0,0017;0,0287;0,3785;0,4971;0,0882;0,0058;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;300,72;65,80;0,8205;1
TP20Z;1825;55448;30,3825;17,8166;0,6304;0,3441;0,6559;41,794;13,1811;0,00;0,00;0,00;0,00;0,00;0,00;0,0005;0,2373;0,1858;0,2575;0,1359;0,103;0,0515;0,0219;0,0055;0,0011;180,81;27,84;0,8666;1
