IO_DRG;IO_BereichNr;IO_KArt1;IO_KArt2;IO_KArt3;IO_KArt4a;IO_KArt4b;IO_KArt5;IO_KArt6a;IO_KArt6b;IO_KArt7;IO_KArt8;IO_Summe
I47B;11;9,44;2,17;158,09;0,47;0,00;0,00;2,51;40,88;6,87;69,81;290,24
I68D;1;0,11;358,45;2,07;16,96;0,03;0,00;28,26;0,14;136,84;401,62;944,48
I68D;2;0,02;0,05;0,00;0,00;0,00;0,00;0,01;0,00;0,01;0,03;0,12
I68D;4;0,00;0,00;33,69;2,77;0,82;0,31;18,18;7,50;21,11;39,40;123,78
I68D;5;4,33;0,00;2,48;0,03;0,00;0,00;0,41;0,00;0,72;1,54;9,51
I68D;8;0,02;0,00;0,41;0,03;0,00;0,00;0,06;0,00;0,07;0,22;0,81
I68D;9;5,40;0,00;7,83;0,37;0,00;0,00;1,93;4,65;2,32;5,38;27,88
I68D;10;0,46;0,00;9,40;0,32;0,00;0,00;3,34;0,74;1,49;2,66;18,41
I68D;11;3,20;2,29;100,57;0,30;0,00;0,00;1,10;3,36;4,32;37,85;152,99
L06B;1;5,83;320,75;6,58;19,83;3,72;0,00;31,13;0,89;86,58;282,27;757,58
L06B;4;0,01;0,00;109,42;4,63;4,89;191,40;49,61;26,56;40,90;73,25;500,67
L06B;5;106,78;0,00;77,73;7,76;1,21;0,00;14,74;0,78;11,69;28,28;248,97
L06B;9;1,07;0,00;1,20;0,01;0,00;0,00;0,16;0,00;0,82;0,55;3,81
L06B;10;0,57;0,00;11,25;0,23;0,00;0,00;7,11;1,60;1,03;4,31;26,10
L06B;11;5,35;0,01;6,94;0,12;0,00;0,00;0,81;0,00;1,32;3,04;17,59
L17B;1;3,26;280,29;6,82;18,85;2,82;0,00;33,70;0,00;83,77;255,63;685,14
L17B;2;1,48;3,35;0,04;0,48;0,00;0,00;0,47;0,00;0,60;1,52;7,94
L17B;4;0,00;0,00;70,40;3,41;1,41;1,06;37,07;19,04;31,30;54,65;218,34
L17B;5;91,53;0,00;61,06;5,59;0,38;0,00;12,86;0,24;10,12;22,34;204,12
L17B;9;2,90;0,00;5,80;0,04;0,00;0,00;0,62;0,00;1,73;2,94;14,03
L17B;10;0,53;0,00;8,71;0,03;0,00;0,00;5,55;0,60;1,37;3,29;20,08
L17B;11;3,74;0,00;3,90;0,02;0,00;0,00;0,17;0,00;0,58;2,19;10,60
L20B;1;1,69;316,67;6,81;20,21;172,22;0,00;50,07;0,90;105,68;316,88;991,13
L20B;2;0,05;0,10;0,00;0,01;0,00;0,00;0,02;0,00;0,03;0,09;0,30
L20B;4;0,00;0,00;116,01;7,52;114,47;0,99;84,34;45,78;46,44;92,42;507,97
L20B;5;126,53;0,00;97,41;7,74;0,12;0,00;19,71;0,07;14,25;36,59;302,42
L20B;7;0,01;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,03
L20B;9;5,62;0,00;7,06;0,16;0,10;0,00;2,01;1,95;1,88;4,18;22,96
L20B;10;0,25;0,00;11,18;0,25;0,84;0,00;8,56;3,07;1,37;3,76;29,28
L20B;11;2,22;0,00;4,74;0,13;0,00;0,00;0,59;0,00;1,15;2,34;11,17
L20C;1;2,53;344,08;5,41;20,38;16,95;0,00;29,48;1,51;94,60;279,72;794,66
L20C;2;0,22;0,43;0,00;0,18;0,00;0,00;0,08;0,00;0,02;0,24;1,17
L20C;4;0,00;0,00;103,62;5,06;2,11;1,42;55,22;31,67;37,62;76,93;313,65
L20C;5;111,82;0,00;73,65;6,62;0,84;0,00;15,32;0,43;11,94;25,61;246,23
L20C;8;0,03;0,00;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,06
L20C;9;6,17;0,00;10,11;0,14;0,06;0,00;2,03;5,26;3,16;5,45;32,38
L20C;10;0,81;0,00;12,47;0,13;0,47;0,00;8,17;7,24;1,88;4,97;36,14
L20C;11;4,51;0,51;6,57;0,18;0,00;0,00;0,80;0,00;1,01;3,92;17,50
L63F;1;3,78;368,41;6,46;22,28;1,54;0,00;33,08;0,46;107,16;303,95;847,12
L63F;4;0,00;0,00;0,54;0,04;0,00;0,00;0,03;0,21;0,27;0,75;1,84
L63F;5;1,98;0,00;1,63;0,09;0,00;0,00;0,13;0,00;0,15;0,56;4,54
L63F;8;0,35;0,00;0,20;0,02;0,00;0,00;0,04;0,00;0,03;0,13;0,77
L63F;9;3,17;0,00;6,19;0,09;0,00;0,00;0,94;6,51;1,54;3,19;21,63
L63F;10;1,19;0,00;22,97;1,55;0,00;0,00;13,22;0,85;2,06;7,98;49,82
L63F;11;10,01;0,00;14,97;0,41;0,00;0,00;1,23;0,00;1,17;8,14;35,93
L64A;1;2,26;297,87;8,54;18,22;0,87;0,00;24,83;0,85;87,09;252,19;692,72
L64A;2;0,06;2,64;0,00;0,09;0,00;0,00;0,21;0,00;0,25;1,74;4,99
L64A;4;0,00;0,00;54,94;2,95;1,99;14,15;34,65;24,95;20,70;40,87;195,20
L64A;5;54,49;0,00;42,50;4,32;0,58;0,00;9,25;0,30;5,85;16,38;133,67
L64A;8;0,83;0,00;0,49;0,04;0,00;0,00;0,09;0,00;0,08;0,31;1,84
L64A;9;6,62;0,00;9,64;0,27;0,00;0,00;3,66;4,44;2,95;6,56;34,14
L64A;10;0,81;0,00;16,42;0,52;2,18;0,00;10,58;1,86;1,95;6,10;40,42
L64A;11;7,93;0,00;20,46;0,72;0,00;0,00;3,10;0,00;4,10;8,32;44,63
L64C;1;2,25;223,25;6,01;14,07;0,01;0,00;26,91;1,98;73,71;210,60;558,79
L64C;4;0,00;0,00;0,85;0,05;0,00;0,00;0,24;0,55;0,21;0,29;2,19
L64C;5;0,84;0,00;0,76;0,12;0,00;0,00;0,19;0,00;0,10;0,21;2,22
L64C;8;1,73;0,00;1,32;0,12;0,00;0,00;0,29;0,00;0,36;0,74;4,56
L64C;9;10,29;0,00;17,62;0,37;0,00;0,00;4,95;13,67;4,21;11,23;62,34
L64C;10;0,47;0,00;20,80;0,42;0,00;0,00;12,03;0,53;2,18;7,97;44,40
L64C;11;7,33;0,00;11,13;0,31;0,00;0,00;1,15;0,00;1,22;6,00;27,14
M02B;1;11,06;479,09;11,89;30,85;2,45;0,00;38,43;0,77;116,74;381,21;1072,49
M02B;2;0,67;14,12;0,00;0,93;0,00;0,00;1,19;0,00;1,19;9,05;27,15
M02B;4;0,00;0,00;169,46;7,18;10,02;0,20;80,43;26,69;59,22;127,67;480,87
M02B;5;146,25;0,00;95,35;8,92;0,73;0,00;23,12;0,32;17,20;35,81;327,70
M02B;8;0,49;0,00;0,58;0,04;0,00;0,00;0,05;0,00;0,19;0,33;1,68
M02B;9;2,04;0,00;3,50;0,03;0,03;0,00;0,40;0,16;1,28;1,53;8,97
M02B;10;1,18;0,00;17,18;0,28;2,77;0,00;11,50;11,12;2,06;6,69;52,78
M02B;11;5,16;0,02;6,24;0,17;0,00;0,00;0,81;0,04;1,65;3,58;17,67
M04D;1;6,31;256,77;7,96;13,55;0,22;0,00;20,71;0,00;81,91;245,11;632,54
M04D;2;1,85;0,00;4,95;0,59;0,00;0,00;0,57;0,00;0,77;1,98;10,71
M04D;4;0,00;0,00;121,42;5,77;0,01;0,58;78,48;8,07;40,16;75,87;330,36
M04D;5;111,86;0,00;78,48;7,16;0,37;0,00;15,99;0,16;10,26;28,69;252,97
M04D;9;2,06;0,00;1,95;0,02;0,00;0,00;0,26;0,00;0,95;1,24;6,48
M04D;10;0,40;0,00;5,06;0,03;0,00;0,00;3,53;0,58;0,64;2,01;12,25
M04D;11;3,03;0,01;2,60;0,03;0,00;0,00;0,17;0,00;0,58;1,43;7,85
N05B;1;9,81;355,50;9,15;21,09;0,00;0,00;27,50;2,56;70,13;300,38;796,12
N05B;4;0,00;0,00;216,42;5,74;0,19;13,48;83,46;95,01;84,18;143,60;642,08
N05B;5;203,05;0,00;147,47;14,42;1,23;0,00;30,46;0,94;29,74;55,55;482,86
