IH_DRG;IH_CodeF;IH_Anzahl;IH_Prozent
D38Z;J35.3;4;0,0029
D40Z;K10.28;39;0,4239
D40Z;K08.3;25;0,2717
D40Z;K04.5;9;0,0978
D40Z;K05.3;5;0,0543
D61A;H91.2;60;0,3636
D61A;H81.2;42;0,2545
D61A;H93.3;30;0,1818
D61A;H93.1;28;0,1697
D61A;H83.2;5;0,0303
D61B;R42;20;0,2632
D61B;H81.0;15;0,1974
D61B;H81.1;14;0,1842
D61B;H81.8;13;0,1711
D61B;H91.0;11;0,1447
D62Z;J36;52;0,2811
D62Z;R04.0;43;0,2324
D62Z;J03.9;25;0,1351
D62Z;J03.8;7;0,0378
D62Z;J03.0;6;0,0324
D62Z;J04.0;6;0,0324
D62Z;J32.4;6;0,0324
D66Z;K11.2;15;0,1667
D66Z;H60.0;8;0,0889
D66Z;H61.0;8;0,0889
D66Z;J34.0;6;0,0667
D66Z;H83.3;5;0,0556
D66Z;J38.3;5;0,0556
D66Z;K11.3;5;0,0556
D66Z;R07.0;5;0,0556
D66Z;H60.1;4;0,0444
G67C;A08.4;17;0,20
G67C;A09.0;17;0,20
G67C;K59.0;9;0,1059
G67C;R11;7;0,0824
G67C;A09.9;4;0,0471
G67C;R13.9;4;0,0471
I10E;M51.1;51;0,4679
I10E;M48.06;42;0,3853
I10E;M51.2;9;0,0826
I10F;M51.1;66;0,44
I10F;M51.2;45;0,30
I10F;M48.06;30;0,20
I16Z;M75.4;157;0,7512
I16Z;M75.1;11;0,0526
I16Z;M19.81;9;0,0431
I16Z;M19.91;9;0,0431
I16Z;M75.5;7;0,0335
I16Z;M75.3;5;0,0239
I18B;M23.32;27;0,1484
I18B;M23.33;27;0,1484
I18B;M17.1;14;0,0769
I18B;M94.26;14;0,0769
I18B;M23.22;12;0,0659
I18B;M23.39;11;0,0604
I18B;M23.23;10;0,0549
I18B;M24.69;10;0,0549
I18B;M23.4;9;0,0495
I18B;M23.26;5;0,0275
I18B;M17.9;4;0,022
I18B;M23.99;4;0,022
I18B;M65.86;4;0,022
I20C;M20.1;23;0,3026
I20C;M19.97;12;0,1579
I20C;M20.2;11;0,1447
I20C;M21.6;10;0,1316
I20C;M25.37;5;0,0658
I20C;Q66.8;5;0,0658
I20G;M20.1;55;0,5238
I20G;M20.5;8;0,0762
I20G;M19.97;7;0,0667
I20G;M20.3;6;0,0571
I20G;M20.4;6;0,0571
I20G;M20.2;4;0,0381
I20G;M77.3;4;0,0381
I27D;M75.4;23;0,1285
I27D;S86.0;19;0,1061
I27D;Q72.4;8;0,0447
I27D;M25.24;7;0,0391
I27D;M75.2;6;0,0335
I27D;Q72.5;6;0,0335
I27D;M18.1;5;0,0279
I27D;M76.6;5;0,0279
I27D;S93.42;5;0,0279
I27D;M20.1;4;0,0223
I27D;M24.07;4;0,0223
I29B;M75.4;96;0,4593
I29B;M75.1;88;0,4211
I29B;S46.0;8;0,0383
I29B;S43.00;4;0,0191
I30Z;S83.53;43;0,3839
I30Z;M23.81;12;0,1071
I30Z;M23.89;9;0,0804
I30Z;M22.0;6;0,0536
I30Z;M23.51;5;0,0446
I30Z;M23.82;5;0,0446
I44B;M17.1;459;0,7029
I44B;M17.9;143;0,219
I44B;M17.2;15;0,023
I44B;T84.0;12;0,0184
I44B;M17.0;9;0,0138
I44B;M17.3;6;0,0092
I44C;M17.1;94;0,6144
I44C;M17.9;30;0,1961
I44C;T84.0;12;0,0784
I44C;M22.2;4;0,0261
I47B;M16.1;185;0,625
I47B;M16.9;94;0,3176
I47B;M16.2;5;0,0169
I68D;M42.16;401;0,3834
I68D;M51.1;123;0,1176
I68D;M54.4;102;0,0975
I68D;M51.2;78;0,0746
I68D;M48.06;74;0,0707
I68D;M54.16;62;0,0593
I68D;M47.86;37;0,0354
I68D;M51.3;22;0,021
I68D;M42.12;19;0,0182
I68D;M50.1;11;0,0105
I68D;M54.2;11;0,0105
I68D;M43.16;10;0,0096
I68D;M96.1;10;0,0096
I68D;M50.2;7;0,0067
