IK_MDC;IK_DRG;IK_Faelle_Anzahl;IK_PCCL0;IK_PCCL1;IK_PCCL2;IK_PCCL3;IK_PCCL4;IK_PCCL5;IK_PCCL6;IK_GeschlechtM;IK_GeschlechtW;IK_GeschlechtU;IK_AlterU28T;IK_AlterU01;IK_AlterU03;IK_AlterU06;IK_AlterU10;IK_AlterU16;IK_AlterU18;IK_AlterU30;IK_AlterU40;IK_AlterU50;IK_AlterU55;IK_AlterU60;IK_AlterU65;IK_AlterU75;IK_AlterU80;IK_AlterU99;IK_VWD_Kurz;IK_VWD_Norm;IK_VWD_Lang;IK_uGVD;IK_oGVD;IK_VWD_MW;IK_Bewertungsrelation;IK_Gesamt;IK_VWD_STD;IK_KOST_MW;IK_KOST_STD
09 ;J08A;189;0,3492;0,164;0,0899;0,1429;0,164;0,0899;0,00;0,6402;0,3598;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0053;0,0423;0,0688;0,0476;0,0741;0,0529;0,1746;0,2011;0,3333;0,1033;0,781;0,1157;3;24;10,90;2,358;0,0001;6,00;6884,34;3624,68
09 ;J08B;846;0,00;0,00;0,00;0,00;0,7388;0,2435;0,0177;0,4716;0,5284;0,00;0,00;0,0024;0,0012;0,00;0,00;0,0012;0,0012;0,0154;0,0307;0,0626;0,0473;0,0615;0,0638;0,1879;0,1537;0,3712;0,0875;0,7628;0,1497;5;35;18,30;2,701;0,0003;8,00;7886,38;4153,29
09 ;J08C;323;0,4706;0,0898;0,0774;0,0929;0,2353;0,0341;0,00;0,3653;0,6347;0,00;0,00;0,00;0,0062;0,00;0,00;0,00;0,00;0,0155;0,0372;0,1022;0,0805;0,0867;0,0681;0,2198;0,1765;0,2074;0,099;0,8198;0,0812;2;19;8,40;1,44;0,0001;5,00;4203,73;2169,62
09 ;J09A;148;0,8986;0,0541;0,0135;0,027;0,0068;0,00;0,00;0,4797;0,5203;0,00;0,00;0,0743;0,0473;0,027;0,00;0,8514;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,3172;0,652;0,0308;1;8;3,40;0,716;0,0001;1,70;2086,92;712,12
09 ;J09B;1882;0,8757;0,0606;0,0425;0,0207;0,0005;0,00;0,00;0,7726;0,2274;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,093;0,559;0,1642;0,0919;0,0377;0,0149;0,0159;0,0143;0,0048;0,0043;0,4764;0,4844;0,0391;1;6;2,90;0,583;0,0007;1,10;1700,54;478,39
09 ;J10A;1321;0,7706;0,056;0,1241;0,0416;0,0068;0,0008;0,00;0,4913;0,5087;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0023;0,0144;0,0628;0,0545;0,0628;0,078;0,2347;0,2006;0,2899;0,1088;0,8355;0,0557;1;9;4,20;0,776;0,0005;1,90;2259,96;942,09
09 ;J10B;1057;0,8846;0,0407;0,0407;0,0303;0,0038;0,00;0,00;0,4532;0,5468;0,00;0,00;0,0019;0,0057;0,0114;0,0085;0,0142;0,017;0,1325;0,0918;0,1457;0,0956;0,0795;0,0823;0,1192;0,1003;0,0946;0,2472;0,7005;0,0524;1;8;3,40;0,763;0,0004;1,60;2222,97;873,76
09 ;J11A;283;0,2827;0,1131;0,1378;0,2367;0,1696;0,0424;0,0177;0,5512;0,4488;0,00;0,00;0,00;0,00;0,00;0,00;0,0071;0,00;0,0141;0,0318;0,1131;0,0777;0,0601;0,1307;0,1731;0,1413;0,2509;0,1558;0,7351;0,1091;3;24;11,70;1,408;0,0001;5,60;4112,82;2101,14
09 ;J11B;3403;0,6635;0,1149;0,0885;0,0905;0,0373;0,0047;0,0006;0,4625;0,5372;0,0003;0,00;0,0018;0,0024;0,0041;0,0029;0,01;0,0053;0,1064;0,1155;0,1716;0,1034;0,079;0,0782;0,1528;0,0826;0,084;0,228;0,686;0,0861;1;12;5,00;0,891;0,0013;3,20;2599,06;1111,58
09 ;J11C;5432;0,7088;0,0804;0,1274;0,0674;0,0153;0,0007;0,00;0,558;0,442;0,00;0,00;0,0048;0,0083;0,0081;0,0103;0,018;0,0101;0,0773;0,0773;0,0989;0,0723;0,072;0,0711;0,1747;0,1219;0,1749;0,3846;0,5595;0,0558;1;8;3,50;0,635;0,0021;1,70;1852,45;694,28
09 ;J11D;4238;0,7586;0,0776;0,1142;0,0451;0,0038;0,0007;0,00;0,5408;0,4592;0,00;0,00;0,0019;0,0035;0,0052;0,0059;0,0116;0,0054;0,0462;0,046;0,0708;0,0566;0,0585;0,0734;0,2017;0,1744;0,2388;0,365;0,5785;0,0565;1;7;3,30;0,568;0,0016;1,40;1653,34;577,54
09 ;J12Z;40;0,65;0,15;0,075;0,10;0,025;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,20;0,40;0,20;0,075;0,10;0,025;0,00;0,00;0,00;0,9302;0,0698;3;17;10,90;5,042;0,00;2,60;14789,80;2980,95
09 ;J14A;524;0,75;0,0992;0,0782;0,0611;0,0115;0,00;0,00;0,0019;0,9981;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0782;0,2137;0,3073;0,1775;0,0973;0,0496;0,0458;0,0153;0,0153;0,0054;0,9374;0,0572;2;16;8,10;2,566;0,0002;3,20;7555,62;2345,61
