IK_MDC;IK_DRG;IK_Faelle_Anzahl;IK_PCCL0;IK_PCCL1;IK_PCCL2;IK_PCCL3;IK_PCCL4;IK_PCCL5;IK_PCCL6;IK_GeschlechtM;IK_GeschlechtW;IK_GeschlechtU;IK_AlterU28T;IK_AlterU01;IK_AlterU03;IK_AlterU06;IK_AlterU10;IK_AlterU16;IK_AlterU18;IK_AlterU30;IK_AlterU40;IK_AlterU50;IK_AlterU55;IK_AlterU60;IK_AlterU65;IK_AlterU75;IK_AlterU80;IK_AlterU99;IK_VWD_Kurz;IK_VWD_Norm;IK_VWD_Lang;IK_uGVD;IK_oGVD;IK_VWD_MW;IK_Bewertungsrelation;IK_Gesamt;IK_VWD_STD;IK_KOST_MW;IK_KOST_STD
14 ;O01D;80;0,7625;0,1375;0,0875;0,0125;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,4375;0,475;0,0875;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,9524;0,0476;1;10;5,70;0,902;0,0031;1,40;2629,13;599,23
14 ;O01E;333;0,8529;0,0901;0,042;0,012;0,003;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,009;0,3844;0,5676;0,039;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,968;0,032;1;9;5,30;0,848;0,0128;1,20;2471,56;418,93
14 ;O01F;493;0,8763;0,0892;0,0284;0,0061;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,3976;0,5761;0,0264;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,9444;0,0556;1;8;5,10;0,778;0,019;1,10;2268,47;331,92
14 ;O01G;98;0,7347;0,1735;0,0816;0,0102;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,3673;0,5816;0,051;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,9333;0,0667;1;9;5,40;0,73;0,0038;1,50;2126,31;319,62
14 ;O01H;368;0,875;0,0734;0,0408;0,0109;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0027;0,4022;0,5543;0,0408;0,00;0,00;0,00;0,00;0,00;0,00;0,0026;0,9436;0,0538;1;8;4,90;0,672;0,0142;1,20;1957,22;259,32
14 ;O60C;382;0,6623;0,2932;0,034;0,0105;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0026;0,4372;0,5157;0,0445;0,00;0,00;0,00;0,00;0,00;0,00;0,0948;0,8623;0,0429;1;7;3,70;0,497;0,0147;1,10;1445,61;273,69
14 ;O60D;2027;0,7953;0,188;0,0163;0,0005;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0005;0,0035;0,4312;0,5392;0,0257;0,00;0,00;0,00;0,00;0,00;0,00;0,0765;0,891;0,0325;1;6;3,50;0,437;0,078;0,90;1272,02;213,90
14 ;O65B;433;0,9423;0,0531;0,0046;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0046;0,5658;0,4042;0,0254;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,9413;0,0587;;9;3,80;0,286;0,0167;2,10;829,12;318,08
15 ;P60C;101;0,8614;0,00;0,0198;0,0891;0,0297;0,00;0,00;0,5941;0,4059;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;;;1,30;0,102;0,0039;0,60;297,58;180,20
15 ;P66D;75;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,2933;0,7067;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,9868;0,0132;1;9;5,10;0,295;0,0029;1,40;853,70;239,67
15 ;P67C;185;0,973;0,00;0,0216;0,0054;0,00;0,00;0,00;0,5892;0,4108;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,9296;0,0704;1;8;4,60;0,329;0,0071;1,40;952,01;262,91
15 ;P67E;4233;0,9998;0,00;0,0002;0,00;0,00;0,00;0,00;0,51;0,49;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0491;0,915;0,0359;1;7;3,90;0,226;0,1628;1,20;655,82;179,74
