IK_MDC;IK_DRG;IK_Faelle_Anzahl;IK_PCCL0;IK_PCCL1;IK_PCCL2;IK_PCCL3;IK_PCCL4;IK_GeschlechtM;IK_GeschlechtW;IK_GeschlechtU;IK_AlterU28T;IK_AlterU01;IK_AlterU03;IK_AlterU06;IK_AlterU10;IK_AlterU16;IK_AlterU18;IK_AlterU30;IK_AlterU40;IK_AlterU50;IK_AlterU55;IK_AlterU60;IK_AlterU65;IK_AlterU75;IK_AlterU80;IK_AlterU99;IK_VWD_Kurz;IK_VWD_Norm;IK_VWD_Lang;IK_uGVD;IK_oGVD;IK_VWD_MW;IK_Bewertungsrelation;IK_Gesamt;IK_VWD_STD
14 ;O60D;21231;0,8414;0,119;0,0353;0,0042;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0004;0,0044;0,4395;0,528;0,0276;0,00;0,00;0,00;0,00;0,00;0,00;0,0849;0,9005;0,0147;1;7;3,50;0,424;0,0473;1,00
14 ;O61Z;349;0,8109;0,149;0,0315;0,0086;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0115;0,4155;0,533;0,0401;0,00;0,00;0,00;0,00;0,00;0,00;0,2246;0,7394;0,036;1;8;3,60;0,329;0,0008;1,50
14 ;O63Z;87;0,8276;0,1609;0,0115;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0115;0,3678;0,5632;0,0575;0,00;0,00;0,00;0,00;0,00;0,00;0,5965;0,3816;0,0219;1;6;2,50;0,312;0,0002;0,90
14 ;O65A;167;0,509;0,3174;0,1018;0,0659;0,006;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,024;0,4012;0,5569;0,018;0,00;0,00;0,00;0,00;0,00;0,00;0,2649;0,6231;0,1119;2;23;8,20;0,732;0,0004;4,90
14 ;O65B;1585;0,7155;0,1943;0,0555;0,0341;0,0006;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0019;0,0183;0,5142;0,4303;0,0353;0,00;0,00;0,00;0,00;0,00;0,00;0,28;0,6499;0,0701;1;11;4,10;0,311;0,0035;2,10
14 ;O65C;4762;0,8553;0,1266;0,0181;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0013;0,0124;0,5754;0,3862;0,0248;0,00;0,00;0,00;0,00;0,00;0,00;0,3901;0,5195;0,0904;1;7;3,20;0,252;0,0106;1,20
15 ;P01Z;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15 ;P02A;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15 ;P02B;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15 ;P02C;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15 ;P03A;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15 ;P03B;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15 ;P03C;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15 ;P04A;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15 ;P04B;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15 ;P04C;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15 ;P05A;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15 ;P05B;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15 ;P05C;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15 ;P06A;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15 ;P06B;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15 ;P06C;3;0,6667;0,00;0,00;0,3333;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,25;0,75;0,00;3;23;5,30;3,196;0,00;0,60
