IK_MDC;IK_DRG;IK_Faelle_Anzahl;IK_PCCL0;IK_PCCL1;IK_PCCL2;IK_PCCL3;IK_PCCL4;IK_GeschlechtM;IK_GeschlechtW;IK_GeschlechtU;IK_AlterU28T;IK_AlterU01;IK_AlterU03;IK_AlterU06;IK_AlterU10;IK_AlterU16;IK_AlterU18;IK_AlterU30;IK_AlterU40;IK_AlterU50;IK_AlterU55;IK_AlterU60;IK_AlterU65;IK_AlterU75;IK_AlterU80;IK_AlterU99;IK_VWD_Kurz;IK_VWD_Norm;IK_VWD_Lang;IK_uGVD;IK_oGVD;IK_VWD_MW;IK_Bewertungsrelation;IK_Gesamt;IK_VWD_STD
05 ;F65A;2681;0,00;0,00;0,00;0,00;1,00;0,5371;0,4629;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0004;0,0022;0,0056;0,0216;0,0235;0,0369;0,0526;0,204;0,1958;0,4573;0,177;0,7531;0,0699;4;27;12,70;1,675;0,0002;5,50
05 ;F65B;40734;0,3878;0,2134;0,1832;0,2024;0,0133;0,5546;0,4454;0,00;0,00;0,0005;0,0004;0,0004;0,0006;0,0019;0,0008;0,0071;0,0118;0,0406;0,0415;0,0625;0,0814;0,2376;0,1821;0,3307;0,2482;0,6944;0,0574;1;15;6,00;0,743;0,003;3,40
05 ;F66A;2114;0,00;0,00;0,00;0,00;1,00;0,7379;0,2621;0,00;0,00;0,0005;0,00;0,0005;0,00;0,0005;0,00;0,00;0,0024;0,0142;0,0265;0,0605;0,1022;0,3132;0,2351;0,2446;0,0995;0,809;0,0915;3;23;11,90;1,602;0,0002;4,60
05 ;F66B;11690;0,4449;0,2313;0,1715;0,1523;0,00;0,668;0,332;0,00;0,00;0,0003;0,00;0,00;0,0001;0,0011;0,0003;0,0034;0,0085;0,0459;0,0586;0,0877;0,1109;0,2972;0,2072;0,179;0,2732;0,6798;0,0469;1;12;4,90;0,56;0,0009;2,40
05 ;F67A;2106;0,00;0,00;0,00;0,00;1,00;0,3519;0,6481;0,00;0,00;0,0005;0,0009;0,0005;0,00;0,0009;0,0005;0,0024;0,0062;0,0142;0,0171;0,0247;0,0465;0,1785;0,1828;0,5242;0,1007;0,8318;0,0675;3;23;10,30;1,248;0,0002;4,60
05 ;F67B;13029;0,0879;0,0307;0,0177;0,8638;0,00;0,3127;0,6873;0,00;0,00;0,0002;0,0002;0,0002;0,0007;0,0023;0,0019;0,0074;0,0124;0,0345;0,0328;0,0412;0,0533;0,1921;0,1793;0,4414;0,0508;0,8728;0,0764;1;14;6,30;0,727;0,001;3,00
05 ;F67C;853;0,8546;0,0961;0,0492;0,00;0,00;0,5768;0,4232;0,00;0,00;0,027;0,0223;0,0528;0,1254;0,7726;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,2283;0,7405;0,0313;1;9;3,50;0,594;0,0001;1,70
05 ;F67D;178397;0,7128;0,1922;0,095;0,00;0,00;0,3028;0,6972;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0025;0,0125;0,0238;0,0719;0,0643;0,0733;0,092;0,2338;0,168;0,2579;0,1738;0,7878;0,0384;1;10;4,30;0,485;0,0132;1,90
05 ;F68A;562;0,3238;0,1495;0,2224;0,2135;0,0907;0,5445;0,4555;0,00;0,00;0,7616;0,1423;0,0961;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,4176;0,4982;0,0842;1;13;4,80;0,97;0,00;2,80
05 ;F68B;600;0,4717;0,1583;0,1717;0,145;0,0533;0,4617;0,5383;0,00;0,00;0,00;0,00;0,00;0,09;0,115;0,035;0,18;0,1333;0,1183;0,0733;0,055;0,0333;0,09;0,0367;0,04;0,5053;0,427;0,0676;1;9;3,70;0,685;0,00;1,90
