IK_MDC;IK_DRG;IK_Faelle_Anzahl;IK_PCCL0;IK_PCCL1;IK_PCCL2;IK_PCCL3;IK_PCCL4;IK_GeschlechtM;IK_GeschlechtW;IK_GeschlechtU;IK_AlterU28T;IK_AlterU01;IK_AlterU03;IK_AlterU06;IK_AlterU10;IK_AlterU16;IK_AlterU18;IK_AlterU30;IK_AlterU40;IK_AlterU50;IK_AlterU55;IK_AlterU60;IK_AlterU65;IK_AlterU75;IK_AlterU80;IK_AlterU99;IK_VWD_Kurz;IK_VWD_Norm;IK_VWD_Lang;IK_uGVD;IK_oGVD;IK_VWD_MW;IK_Bewertungsrelation;IK_Gesamt;IK_VWD_STD
03 ;D62Z;58861;0,7212;0,1515;0,0693;0,0481;0,0099;0,5105;0,4895;0;0;0,0001;0,0004;0,1381;0,07;0,08;0,0322;0,1383;0,096;0,0843;0,045;0,0419;0,0415;0,0936;0,0553;0,0834;0,2087;0,7146;0,0767;1;7;3,3;0,412;0,0045;1,2
03 ;D63Z;23498;0,7303;0,1605;0,0726;0,0326;0,004;0,5553;0,4447;0;0;0,3448;0,6552;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1968;0,7431;0,0601;1;6;2,9;0,461;0,0018;1
03 ;D64Z;4385;0,8372;0,1083;0,039;0,0125;0,003;0,6529;0,3469;0,0002;0;0,1847;0,4036;0,1936;0,0753;0,0372;0,0032;0,0125;0,0137;0,0192;0,0089;0,0078;0,0089;0,0169;0,0075;0,0071;0,5188;0,4209;0,0603;1;5;2,4;0,357;0,0003;0,7
03 ;D65Z;3864;0,7125;0,1493;0,0792;0,0523;0,0067;0,5626;0,4374;0;0;0,0016;0,0047;0,0078;0,0166;0,0417;0,0352;0,1938;0,0712;0,0787;0,0391;0,0349;0,0316;0,0983;0,0859;0,2591;0,4448;0,5162;0,039;1;7;3;0,505;0,0003;1,2
03 ;D66Z;14241;0,758;0,1154;0,0688;0,0445;0,0133;0,5177;0,4823;0;0;0,0417;0,0385;0,0443;0,0361;0,0468;0,0178;0,0952;0,0763;0,1169;0,0736;0,0671;0,0662;0,1263;0,0637;0,0895;0,3309;0,607;0,0621;1;8;3,6;0,498;0,0011;1,5
03 ;D67Z;11794;0,6162;0,227;0,0835;0,0606;0,0126;0,5149;0,485;0,0001;0;0,038;0,1358;0,0537;0,0349;0,0401;0,017;0,1051;0,0668;0,0858;0,0555;0,0519;0,0521;0,1074;0,0582;0,0978;0,3769;0,5532;0,0699;1;8;3,5;0,519;0,0009;1,5
04 ;E01A;1546;0,0666;0,0679;0,0938;0,24;0,5317;0,7303;0,2697;0;0;0;0;0;0;0,0013;0,0006;0,0285;0,0252;0,0834;0,1067;0,1332;0,1514;0,3292;0,0906;0,0498;0,0273;0,8111;0,1616;5;36;18,6;5,34;0,0001;7,4
04 ;E01B;3504;0,1801;0,1367;0,1718;0,3131;0,1983;0,6481;0,3519;0;0;0,0011;0;0,0014;0,0017;0,0026;0,0031;0,0325;0,0314;0,0811;0,0942;0,1256;0,1675;0,3268;0,1036;0,0274;0,0206;0,8784;0,101;3;25;12,9;3,7;0,0003;4,8
04 ;E02A;189;0,3122;0,0952;0,0529;0,2646;0,2751;0,5291;0,4709;0;0;0,0794;0,3915;0,3228;0,2063;0;0;0;0;0;0;0;0;0;0;0;0,1346;0,7269;0,1385;1;17;5,5;1,672;0;3,6
04 ;E02B;3232;0,1148;0,0532;0,1473;0,2212;0,4635;0,548;0,4517;0,0003;0;0;0;0;0;0,0031;0,0043;0,0294;0,0251;0,0659;0,0777;0,0876;0,1228;0,3171;0,134;0,133;0,0718;0,8321;0,096;3;27;12,5;2,071;0,0002;5,6
04 ;E02C;27623;0,2529;0,119;0,1101;0,2284;0,2896;0,642;0,358;0;0;0;0;0;0;0,002;0,0028;0,02;0,0271;0,0754;0,0826;0,1121;0,1417;0,3087;0,1362;0,0915;0,2148;0,7083;0,0769;2;20;8,3;1,374;0,0021;4,2
04 ;E03Z;272;0,2132;0,1287;0,1324;0,2721;0,2537;0,6544;0,3456;0;0;0;0;0;0;0;0;0,011;0,0074;0,0368;0,1029;0,1029;0,1654;0,3824;0,1066;0,0846;0;0,8344;0,1656;;8;3,1;0,807;0;1,3
04 ;E05A;4125;0,0017;0;0,0005;0,0002;0,9976;0,665;0,335;0;0;0,0022;0,0039;0,0022;0,0024;0,0039;0,0041;0,0141;0,0192;0,0599;0,0752;0,1193;0,1416;0,3416;0,129;0,0817;0,0384;0,8563;0,1053;5;34;17;4,701;0,0003;6,9
04 ;E05B;6317;0,2815;0,1801;0,2001;0,3383;0;0,5865;0,4135;0;0;0;0;0,0005;0,0006;0,0005;0,0003;0,0089;0,0128;0,0575;0,0841;0,1211;0,174;0,3589;0,1306;0,0503;0,0252;0,8978;0,077;3;22;11,8;3,25;0,0005;3,8
04 ;E05C;2138;0,2746;0,1871;0,1969;0,3414;0;0,6006;0,3994;0;0;0,0098;0,0061;0,0023;0,0014;0,0037;0,008;0,0589;0,0631;0,0978;0,0912;0,1272;0,1609;0,2694;0,0664;0,0337;0,0484;0,8766;0,075;3;23;10,1;2,881;0,0002;4,4
04 ;E06A;4405;0;0;0;0;1;0,659;0,341;0;0;0,0002;0,0007;0,0032;0,0018;0,0066;0,0059;0,0286;0,0345;0,0754;0,0704;0,0931;0,1117;0,2931;0,1532;0,1217;0,0229;0,8697;0,1074;4;32;15,7;3,305;0,0003;6,8
04 ;E06B;283;0,5724;0,0601;0,1484;0,2191;0;0,742;0,258;0;0;0,0318;0,0353;0,0636;0,0353;0,8339;0;0;0;0;0;0;0;0;0;0;0,0184;0,8681;0,1135;2;16;8,6;2,575;0;2,6
04 ;E06C;14965;0,3651;0,1381;0,2161;0,2808;0;0,6235;0,3765;0;0;0;0;0;0;0;0,0166;0,0905;0,0571;0,1058;0,0903;0,1067;0,122;0,2644;0,0985;0,048;0,0132;0,8881;0,0987;2;18;9;2,004;0,0011;3,4
04 ;E07Z;2677;0,9193;0,0411;0,0172;0,0172;0,0052;0,7927;0,2073;0;0;0,003;0,059;0,1688;0,0366;0,0157;0,0045;0,0643;0,1296;0,2092;0,1132;0,0844;0,0545;0,0486;0,0075;0,0011;0,0992;0,8826;0,0181;1;10;4,4;0,937;0,0002;1,7
04 ;E08A;164;0,0549;0,0915;0,1098;0,372;0,372;0,628;0,372;0;0;0;0;0;0;0;0,0061;0;0;0,0549;0,1098;0,1341;0,189;0,3171;0,1341;0,0549;0,1276;0,6749;0,1975;6;39;19,8;4,304;0;8,4
04 ;E08B;4099;0,1061;0,0773;0,1744;0,4384;0,2037;0,6441;0,3559;0;0;0;0,0002;0;0;0;0,0002;0,0015;0,0027;0,0456;0,0805;0,1239;0,1598;0,3518;0,1386;0,0951;0,059;0,7901;0,1509;7;42;22,8;3,716;0,0003;8,6
04 ;E08C;8715;0,2478;0,1191;0,209;0,3246;0,0995;0,6475;0,3525;0;0;0;0;0;0;0,0003;0,0001;0,0007;0,004;0,0593;0,0872;0,1447;0,1718;0,3546;0,1126;0,0647;0,145;0,7646;0,0904;2;22;8,5;1,512;0,0007;4,9
04 ;E36Z;4846;0,0019;0,0023;0,0052;0,0437;0,947;0,6172;0,3822;0,0006;0;0,0087;0,0021;0,0017;0,0012;0,0012;0,0004;0,0035;0,0043;0,034;0,0419;0,0638;0,1059;0,3192;0,1991;0,213;0,0013;0,8779;0,1208;6;39;21,4;8,07;0,0004;7,5
04 ;E37Z;8;0;0,375;0,125;0,375;0,125;0,625;0,375;0;0;0;0;0;0;0;0;0,125;0,25;0;0,125;0,375;0,125;0;0;0;0;1;0;;;70,4;;0;41,7
04 ;E40A;210;0,0095;0,0667;0,081;0,2095;0,6333;0,5714;0,4286;0;0;0,3;0,1667;0,1286;0,119;0,1714;0;0,0143;0,0143;0,0143;0,0429;0,0143;0,0143;0;0;0;0,234;0,6731;0,0929;3;24;10,4;3,694;0;4,9
04 ;E40B;4279;0;0,0014;0,0058;0,0344;0,9584;0,5959;0,4041;0;0;0;0,0005;0,0002;0,0002;0,0016;0,0021;0,0206;0,018;0,0509;0,0547;0,0764;0,0989;0,2963;0,1601;0,2194;0,2267;0,6738;0,0995;3;28;12,7;3,481;0,0003;6,4
04 ;E40C;10795;0,0251;0,1435;0,227;0,6044;0;0,5436;0,4564;0;0;0,0167;0,0069;0,0043;0,0027;0,0038;0,0026;0,0135;0,0165;0,044;0,0592;0,0909;0,1269;0,2919;0,1477;0,1726;0,1975;0,7361;0,0664;3;23;10,8;2,566;0,0008;4,8
04 ;E41Z;288;0,1076;0,0694;0,1389;0,3299;0,3542;0,5417;0,4583;0;0;0;0;0;0;0,0069;0;0,0035;0,0069;0,0799;0,1042;0,1007;0,1736;0,3368;0,1111;0,0764;0;1;0;;;26,9;;0;14,1
04 ;E42Z;15592;0,0668;0,0686;0,13;0,3515;0,383;0,4214;0,5786;0;0;0;0;0;0;0;0;0;0,0001;0,0003;0,001;0,0035;0,0153;0,16;0,1918;0,6281;0;0,9494;0,0506;;37;21,6;2,32;0,0012;5,3
04 ;E60A;1777;0,103;0,148;0,1351;0,1745;0,4395;0,4541;0,5459;0;0;0,0422;0,0551;0,0574;0,1109;0,386;0,0388;0,1699;0,0923;0,0321;0,0084;0,0034;0;0,0034;0;0;0,1384;0,82;0,0415;2;23;9,7;1,75;0,0001;5
04 ;E60B;2148;0,0819;0,1532;0,2235;0,5414;0;0,4977;0,5023;0;0;0;0;0;0;0;0,0982;0,5209;0,2337;0,102;0,0219;0,0084;0,0033;0,0093;0,0014;0,0009;0,1538;0,8177;0,0285;2;20;8,9;1,425;0,0002;4,7
04 ;E63Z;58809;0,8736;0,0621;0,0404;0,0224;0,0015;0,7116;0,2884;0;0;0,0047;0,0024;0,0046;0,0036;0,0031;0,0033;0,0259;0,0602;0,1704;0,1358;0,1422;0,1291;0,2052;0,0779;0,0317;0,451;0,5272;0,0218;1;4;2,2;0,27;0,0045;0,4
04 ;E64A;44904;0,3119;0,1004;0,1817;0,2589;0,1472;0,4754;0,5246;0;0;0,0003;0,0002;0,0001;0,0002;0,0005;0,0013;0,0234;0,0332;0,0762;0,0586;0,0667;0,0835;0,2387;0,1613;0,2559;0,1071;0,8185;0,0745;2;18;8,5;1,134;0,0034;3,5
04 ;E64B;209;0,2919;0,2488;0,2632;0,1962;0;0,5933;0,4067;0;0;0,2727;0,2967;0,2153;0,2153;0;0;0;0;0;0;0;0;0;0;0;0;0,8427;0,1573;;8;3,7;0,815;0;1,6
04 ;E64C;11161;0,2218;0,1405;0,2345;0,4033;0;0,4994;0,5006;0;0;0;0;0;0;0,0036;0,003;0,0143;0,0156;0,0405;0,0423;0,0646;0,0894;0,2457;0,1604;0,3207;0;0,9103;0,0897;;15;6,4;0,794;0,0008;3,3
04 ;E64D;3448;0,3361;0,1729;0,2161;0,2024;0,0725;0,5423;0,4577;0;0;0,0046;0,0093;0,0041;0,0044;0,0078;0,0041;0,0339;0,0313;0,0595;0,0481;0,0624;0,0835;0,2204;0,1323;0,2944;0;1;0;;;1;0,212;0,0003;0
04 ;E65A;18690;0,0088;0,0036;0,0199;0,0431;0,9246;0,5682;0,4318;0;0;0,0245;0,0013;0,0006;0,0003;0,0004;0,0002;0,0016;0,002;0,0162;0,033;0,0574;0,0912;0,3095;0,1877;0,2742;0,0789;0,829;0,0921;3;23;11,3;1,251;0,0014;4,6
04 ;E65B;37577;0,1691;0,0472;0,3233;0,4604;0;0,5981;0,4019;0;0;0,0023;0;0,0001;0,0001;0,0005;0,0003;0,002;0,0043;0,0321;0,0594;0,1116;0,1555;0,3556;0,1448;0,1314;0,0765;0,8519;0,0716;2;17;8,2;0,905;0,0028;3,4
04 ;E65C;123493;0,3288;0,0851;0,2376;0,3485;0;0,5406;0,4594;0;0;0;0,0024;0,002;0,001;0,001;0,0004;0,0029;0,0066;0,0342;0,0475;0,0764;0,1008;0,2857;0,1727;0,2663;0,053;0,8867;0,0603;1;15;6,9;0,738;0,0094;3
04 ;E66A;9097;0,3999;0,2739;0,1627;0,1366;0,0268;0,6076;0,3924;0;0;0,0002;0,0001;0;0,0005;0,001;0,0014;0,0182;0,0323;0,0977;0,0827;0,0826;0,0817;0,1935;0,1158;0,2923;0,0475;0,8611;0,0914;1;14;6;0,804;0,0007;2,9
04 ;E66B;19947;0,6485;0,1703;0,1033;0,0682;0,0098;0,5329;0,467;0,0001;0;0,0001;0;0,0001;0,001;0,0036;0,0025;0,0232;0,0311;0,0879;0,0724;0,0715;0,0642;0,1667;0,1203;0,3556;0,1213;0,8202;0,0585;1;11;4,4;0,539;0,0015;2,1
04 ;E69A;1297;0,0023;0,0162;0,0594;0,7379;0,1843;0,5998;0,4002;0;0;0,5598;0,0008;0,0077;0,0154;0,0146;0,0031;0,0231;0,0224;0,0455;0,0308;0,0439;0,0532;0,0879;0,0424;0,0493;0;0,8859;0,1141;;12;5,6;0,881;0,0001;2,5
04 ;E69B;72638;0,4135;0,1286;0,173;0,2476;0,0374;0,4266;0,5734;0;0;0,0647;0,0125;0,0054;0,003;0,0024;0,0009;0,0044;0,005;0,0115;0,0093;0,0638;0,0811;0,2106;0,1575;0,368;0,0028;0,93;0,0673;1;13;6;0,648;0,0055;2,6
04 ;E69C;9097;0,7067;0,1147;0,1786;0;0;0,6654;0,3346;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1001;0,8359;0,064;1;8;3,5;0,538;0,0007;1,4
04 ;E69D;27507;0,6996;0,064;0,2346;0,0014;0,0004;0,6178;0,3822;0;0;0,0533;0,4562;0,2333;0,1297;0,1275;0;0;0;0;0;0;0;0;0;0;0,1722;0,7466;0,0812;1;6;3;0,467;0,0021;1
04 ;E69E;37644;0,7431;0,1055;0,1183;0,0296;0,0034;0,4408;0,5592;0;0;0,0001;0;0;0,0008;0,013;0,0375;0,1511;0,1422;0,208;0,1376;0,0534;0,0355;0,0889;0,056;0,0759;0,409;0,5371;0,054;1;8;3,7;0,466;0,0029;1,6
04 ;E70A;6966;0,4858;0,1167;0,289;0,0949;0,0136;0,5606;0,4394;0;0;0,8919;0,1081;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0372;0,9026;0,0602;1;10;4,5;0,717;0,0005;1,9
04 ;E70B;1026;0,4639;0,1248;0,1823;0,1598;0,0692;0,4493;0,5497;0,001;0;0;0;0,0595;0,0205;0,0312;0,0175;0,0419;0,0624;0,1043;0,0673;0,0731;0,0887;0,1842;0,0858;0,1637;0,09;0,8104;0,0995;1;13;5,9;0,707;0,0001;2,8
04 ;E71A;23830;0,1358;0,0726;0,0946;0,129;0,5679;0,6426;0,3574;0;0;0;0,0001;0;0,0001;0,0001;0,0001;0,0016;0,0045;0,0352;0,0598;0,0973;0,1342;0,3475;0,1695;0,1499;0,1738;0,7524;0,0738;2;23;9,8;1,371;0,0018;5,1
04 ;E71B;84118;0,2513;0,1537;0,2416;0,3534;0;0,6306;0,3694;0;0;0,0001;0,0001;0;0;0,0002;0,0002;0,0017;0,0043;0,0454;0,0767;0,1272;0,1549;0,351;0,1397;0,0985;0,3046;0,6102;0,0852;1;12;4,5;0,631;0,0064;2,6
04 ;E73A;842;0;0;0;0;1;0,5843;0,4145;0,0012;0;0,0024;0,0012;0;0,0024;0,0036;0;0,0083;0,0107;0,0309;0,0416;0,0439;0,0677;0,2268;0,1781;0,3824;0,1401;0,7662;0,0937;4;28;13,7;1,964;0,0001;5,9
04 ;E73B;8970;0,3392;0,1973;0,2113;0,2522;0;0,5826;0,4174;0;0;0,0009;0,0004;0,0004;0,0014;0,0038;0,0017;0,0183;0,0235;0,0593;0,0521;0,0594;0,0841;0,2367;0,1625;0,2954;0,1354;0,807;0,0576;1;17;6,7;0,847;0,0007;3,7
04 ;E74Z;16753;0,3598;0,1015;0,229;0,2238;0,0859;0,557;0,443;0;0;0,0021;0,0045;0,0038;0,0032;0,0035;0,0012;0,0294;0,0517;0,0922;0,0722;0,0793;0,096;0,2595;0,1609;0,1406;0,1424;0,7891;0,0685;1;16;6,6;0,861;0,0013;3,6
04 ;E75A;60;0;0;0;0;1;0,5167;0,4833;0;0;0,25;0,4167;0,2333;0,1;0;0;0;0;0;0;0;0;0;0;0;0,2188;0,625;0,1563;1;11;4,3;1,061;0;2,3
04 ;E75B;2290;0;0;0;0;1;0,5476;0,4524;0;0;0;0;0;0;0,0044;0,0022;0,0118;0,0092;0,0376;0,0336;0,0445;0,0607;0,2236;0,1655;0,407;0,0969;0,8252;0,0778;2;21;9,5;1,225;0,0002;4,3
04 ;E75C;30286;0,4382;0,1761;0,1669;0,2151;0,0038;0,5297;0,4703;0;0;0,0117;0,0177;0,0067;0,0046;0,0081;0,005;0,0407;0,0417;0,0739;0,0542;0,0628;0,0716;0,193;0,1315;0,2769;0,1909;0,7402;0,0689;1;12;5,3;0,657;0,0023;2,5
